Year,DISTCD,State Name,DISTNAME,SCH1,SCH2,SCH3,SCH4,SCH5,SCH6,SCH7,SCH9,SCHTOT,SCH1GA,SCH2GA,SCH3GA,SCH4GA,SCH5GA,SCH6GA,SCH7GA,SCH9GA,SCHTOTGA,SCHBOY1,SCHBOY2,SCHBOY3,SCHBOY4,SCHBOY5,SCHBOY6,SCHBOY7,SCHBOY9,SCHBOYTOT,SCHGIR1,SCHGIR2,SCHGIR3,SCHGIR4,SCHGIR5,SCHGIR6,SCHGIR7,SCHGIR9,SCHGIRTOT,ENR1,ENR2,ENR3,ENR4,ENR5,ENR6,ENR7,ENR9,ENRTOT,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCH9,TCHTOT,SCLS1,SCLS2,SCLS3,SCLS4,SCLS5,SCLS6,SCLS7,SCLSTOT,STCH1,STCH2,STCH3,STCH4,STCH5,STCH6,STCH7,STCHTOT,ROAD1,ROAD2,ROAD3,ROAD4,ROAD5,ROAD6,ROAD7,ROADTOT,SPLAY1,SPLAY2,SPLAY3,SPLAY4,SPLAY5,SPLAY6,SPLAY7,SPLAYTOT,SBNDR1,SBNDR2,SBNDR3,SBNDR4,SBNDR5,SBNDR6,SBNDR7,SBNDRTOT,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL4,SGTOIL5,SGTOIL6,SGTOIL7,SGTOILTOT,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL4,SBTOIL5,SBTOIL6,SBTOIL7,SBTOILTOT,SWAT1,SWAT2,SWAT3,SWAT4,SWAT5,SWAT6,SWAT7,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAM9,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMN9,SRAMNTOT,ESTD1,ESTD2,ESTD3,ESTD4,ESTD5,ESTD6,ESTD7,ESTDTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT,ENR501,ENR502,ENR503,ENR504,ENR505,ENR506,ENR507,ENR509,ENR50TOT,SMC1,SMC2,SMC3,SMC4,SMC5,SMC6,SMC7,SMCTOT,CLS1,CLS2,CLS3,CLS4,CLS5,CLS6,CLS7,CLSTOT,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHF9,TCHFTOT,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,ENRG1,ENRG2,ENRG3,ENRG4,ENRG5,ENRG6,ENRG7,ENRG9,ENRGTOT,C1_B,C2_B,C3_B,C4_B,C5_B,C6_B,C7_B,C8_B,C9_B,C1_G,C2_G,C3_G,C4_G,C5_G,C6_G,C7_G,C8_G,C9_G
2014-15,2901,KARNATAKA,BELGAUM,735,1011,3,28,1,31,28,0,1837,610,858,2,20,0,11,17,0,1518,730,985,3,22,1,31,25,0,1797,732,994,3,27,1,30,25,0,1812,34466,221635,3502,3896,446,12081,4257,28631,308914,1951,7613,119,106,48,500,254,0,10591,66,2,0,0,0,0,0,68,103,9,0,1,0,0,0,113,674,983,3,27,0,28,27,1742,439,763,3,25,1,29,25,1285,448,808,2,24,0,27,23,1332,731,994,3,27,1,30,25,1811,729,985,3,22,1,31,25,1796,735,1011,3,28,1,31,28,1837,716,1002,3,28,1,31,28,1809,99,471,3,21,1,24,22,641,72,108,1,5,0,3,3,0,192,78,110,1,5,0,3,3,0,200,252,113,0,8,0,16,18,407,609,851,0,20,0,9,16,1505,323,457,0,3,0,3,1,787,339,468,0,3,0,3,1,814,513,70,0,4,0,1,2,302,590,573,771,1,15,0,8,4,1372,2196,8582,81,136,12,340,164,11511,982,4179,53,75,42,332,79,0,5742,969,3434,66,31,6,168,175,17094,107862,1497,2301,443,4952,1822,13703,149674,20810,20161,20048,20010,19523,18933,19486,20269,18718,19659,19034,19626,18763,18256,17665,18157,18514,17049
2014-15,2902,KARNATAKA,BAGALKOT,656,1011,4,26,5,61,25,0,1788,494,872,2,7,5,39,23,0,1442,653,964,4,20,5,61,20,0,1727,656,969,4,26,4,61,25,0,1745,36717,224553,1786,1950,1950,24292,4155,21751,317154,1699,6746,97,100,89,975,210,0,9916,7,0,0,0,0,0,0,7,95,6,0,1,0,0,0,102,584,978,4,20,5,58,25,1674,409,764,4,20,5,45,19,1266,458,836,4,22,5,55,20,1400,656,969,4,26,4,61,25,1745,653,964,4,20,5,61,20,1727,656,1011,4,26,5,61,25,1788,645,999,4,26,5,61,25,1765,87,348,4,19,5,31,18,512,220,329,2,17,2,24,4,0,598,226,335,3,19,2,24,4,0,613,369,123,2,25,1,20,18,558,494,863,2,6,4,38,19,1426,403,720,2,4,1,29,8,1167,421,761,2,4,1,29,8,1226,385,21,0,11,0,0,0,206,417,484,825,2,6,4,38,10,1369,2245,8205,50,98,59,738,103,11498,777,3021,51,55,21,444,81,0,4450,922,3725,46,45,68,531,129,17179,109640,679,1229,742,11220,2159,10429,153277,22235,21600,21615,21058,20049,18839,19454,19027,17225,20426,20831,20662,18953,18670,17898,18184,17653,15041
2014-15,2903,KARNATAKA,BIJAPUR (KARNATAKA),1274,1313,2,24,2,68,31,0,2714,863,1099,2,5,1,38,23,0,2031,1273,1216,2,19,2,68,25,0,2605,1273,1233,2,23,1,68,30,0,2630,66408,258604,1336,1941,419,21987,4938,24388,380021,3588,8604,42,107,39,824,263,0,13467,43,1,0,0,0,0,3,47,88,8,0,0,0,0,0,96,1055,1288,2,21,2,68,29,2465,912,1030,2,17,1,57,23,2042,494,908,2,19,2,59,24,1508,1273,1233,2,23,1,68,30,2630,1273,1216,2,19,2,68,25,2605,1263,1311,2,24,2,68,31,2701,1166,1268,2,23,2,67,29,2557,222,480,2,16,1,42,20,783,309,397,1,7,2,15,9,0,740,313,402,2,9,2,15,10,0,753,822,174,0,23,1,20,24,1064,860,1085,1,4,0,38,21,2009,592,828,0,3,0,30,6,1459,629,862,0,3,0,30,7,1531,808,74,0,10,0,1,4,305,897,752,881,1,5,1,31,10,1681,4169,10360,26,102,66,756,150,15629,1606,3641,12,51,0,355,90,0,5755,1982,4963,30,56,39,469,173,30023,127898,473,937,48,9640,2427,10961,182407,29387,28117,26259,25324,24139,21959,21400,21029,18859,26825,26558,25286,22553,22039,20382,19833,18931,15483
2014-15,2904,KARNATAKA,GULBARGA,1253,1456,4,21,0,115,42,0,2891,816,1138,0,7,0,45,36,0,2042,1250,1445,4,14,0,112,34,0,2859,1252,1453,4,21,0,112,41,0,2883,68967,323647,2693,1382,0,41675,5724,23556,467644,3686,10102,39,84,0,1468,337,0,15716,33,1,1,2,0,0,5,42,121,17,0,3,0,0,0,141,1066,1352,4,18,0,107,40,2587,648,957,4,11,0,99,31,1750,652,944,4,16,0,96,30,1742,1252,1453,4,21,0,112,41,2883,1250,1445,4,14,0,112,34,2859,1252,1456,4,21,0,115,42,2890,1132,1383,4,21,0,111,41,2692,216,524,3,18,0,77,24,862,840,851,3,9,0,50,17,0,1770,983,1064,3,14,0,81,35,0,2180,783,224,1,19,0,35,34,1096,815,1138,0,7,0,44,36,2040,439,661,0,3,0,27,7,1137,520,781,0,3,0,32,8,1344,706,57,0,10,0,6,1,642,780,649,797,0,4,0,31,17,1498,4457,12311,43,90,0,1201,194,18296,2061,5658,13,58,0,1016,132,0,8938,1606,4402,26,26,0,449,205,32364,158403,1112,990,0,17943,2792,11207,224811,34881,33585,32492,31471,30673,27864,27155,24712,20687,32255,31996,30807,28333,27867,25917,24927,22709,18898
2014-15,2905,KARNATAKA,BIDAR,903,1157,0,5,1,48,21,0,2135,537,917,0,4,1,16,20,0,1495,902,1149,0,1,1,48,17,0,2118,902,1153,0,5,1,48,21,0,2130,45563,222504,0,661,210,20539,3035,18464,310976,2267,7744,0,20,10,640,182,0,10863,10,2,0,0,0,0,0,12,142,10,0,0,0,0,0,152,752,1107,0,4,1,47,20,1931,542,876,0,3,1,43,10,1475,483,856,0,4,1,41,14,1399,902,1153,0,5,1,48,21,2130,902,1149,0,1,1,48,17,2118,891,1157,0,5,1,48,21,2123,798,1067,0,5,1,48,18,1937,95,313,0,3,1,31,10,453,461,397,0,3,0,9,6,0,876,469,401,0,3,0,9,6,0,888,631,183,0,4,0,11,17,846,537,917,0,4,1,15,20,1494,424,795,0,3,1,14,13,1250,453,840,0,4,1,15,13,1326,595,78,0,0,0,2,0,453,675,426,593,0,4,0,9,4,1036,3312,9520,0,31,12,761,110,13746,1206,3777,0,17,2,364,52,0,5418,1061,3967,0,3,8,276,130,21060,110722,0,617,80,8887,1517,8804,151687,23031,22521,22146,20881,19784,17692,17217,16017,14401,21870,21385,20972,19592,18624,16950,16565,15729,13837
2014-15,2906,KARNATAKA,RAICHUR,919,927,1,11,4,105,38,0,2005,710,770,0,6,3,37,34,0,1560,917,918,1,5,3,105,34,0,1983,919,921,1,11,4,105,38,0,1999,56661,204127,334,917,530,36893,6216,14229,319907,2574,6472,16,31,41,1365,315,0,10814,40,1,0,0,0,1,3,45,153,9,0,1,0,0,1,164,665,783,1,10,3,98,34,1594,471,601,1,5,4,91,26,1199,491,732,1,8,4,90,24,1350,919,921,1,11,4,105,38,1999,917,918,1,5,3,105,34,1983,919,927,1,11,4,105,38,2005,898,911,1,11,4,105,38,1968,98,266,1,3,4,73,25,470,1,1,0,0,0,0,0,0,2,33,11,0,0,0,1,2,0,47,487,151,1,10,1,31,29,710,699,758,0,6,2,37,26,1528,462,580,0,3,0,31,5,1081,514,608,0,3,2,33,7,1167,470,21,0,1,1,2,3,214,498,669,691,0,6,1,34,14,1415,3068,7146,10,61,29,1055,243,11612,1236,3286,6,28,11,790,105,0,5462,1338,3186,10,3,30,575,210,27151,99735,133,694,253,16129,3192,6252,153539,23246,22486,21984,21324,20834,19267,19516,17711,14119,22140,21351,20566,19026,19072,17850,18239,15295,11450
2014-15,2907,KARNATAKA,KOPPAL,528,678,3,8,2,50,32,0,1301,394,565,1,6,2,19,24,0,1011,521,667,3,3,1,50,28,0,1273,528,672,3,8,2,50,32,0,1295,33287,159336,867,802,284,16965,4516,9978,226035,1580,4811,53,24,18,727,276,0,7489,10,0,0,0,0,0,0,10,65,4,0,2,0,0,0,71,452,627,3,7,2,49,31,1171,282,509,1,8,1,44,25,870,373,589,3,8,2,41,26,1042,528,672,3,8,2,50,32,1295,521,667,3,3,1,50,28,1273,526,678,3,8,2,50,32,1299,471,652,3,8,2,47,29,1212,48,230,1,6,1,33,25,344,132,223,1,3,2,10,3,0,374,179,251,2,3,2,11,12,0,460,230,85,1,7,1,18,27,369,391,556,0,5,2,19,18,991,281,493,0,1,2,18,9,804,298,506,0,2,2,18,12,838,233,22,2,1,1,2,6,150,267,332,448,1,6,0,18,7,812,1781,5353,34,28,35,596,164,7991,791,2148,25,15,3,345,112,0,3439,782,2655,28,9,15,381,164,16247,77537,318,670,135,7840,2015,4641,109403,16109,15602,14756,14399,14295,13714,14277,13480,11158,15260,14899,14314,13113,13394,13041,13295,12087,9533
2014-15,2908,KARNATAKA,GADAG,271,504,0,15,3,49,17,0,859,193,439,0,3,3,34,15,0,687,263,451,0,13,2,49,14,0,792,269,458,0,15,2,49,17,0,810,18234,104790,0,1338,747,14501,2850,11265,153725,909,3557,0,64,96,735,169,0,5530,3,0,0,0,0,0,0,3,25,6,0,1,0,0,0,32,247,490,0,12,3,45,17,814,194,414,0,11,3,43,12,677,222,448,0,15,3,43,14,745,269,458,0,15,2,49,17,810,263,451,0,13,2,49,14,792,268,504,0,15,3,49,17,856,269,503,0,15,3,49,17,856,65,261,0,9,3,35,15,388,103,214,0,10,3,21,4,0,355,108,214,0,10,3,22,5,0,362,107,41,0,12,0,8,10,178,193,438,0,3,3,34,15,686,125,348,0,2,3,27,8,513,136,369,0,2,3,28,8,546,139,16,0,4,0,0,0,219,159,185,409,0,3,2,31,6,636,1135,4526,0,69,47,473,101,6351,513,1696,0,36,25,329,52,0,2651,393,1856,0,28,71,406,110,8665,51804,0,689,354,6370,1500,5431,74813,10647,10242,10295,9920,8993,9191,9640,9984,8803,9984,9791,10136,9098,8778,8692,9113,9221,8254
2014-15,2909,KARNATAKA,DHARWAD,363,692,2,9,2,124,19,0,1211,231,587,2,3,1,42,16,0,882,359,642,2,7,2,119,16,0,1147,361,652,2,9,2,119,17,0,1162,22458,159989,1219,563,468,56000,3293,15006,258996,1095,5371,36,31,31,1998,200,0,8762,10,0,0,0,0,0,2,12,31,1,0,0,0,0,0,32,317,656,2,7,2,120,17,1121,225,529,2,6,2,117,12,893,242,558,2,7,2,116,15,942,361,652,2,9,2,119,17,1162,359,642,2,7,2,119,16,1147,363,692,2,9,2,124,19,1211,337,681,2,8,2,123,18,1171,111,393,2,7,2,113,14,642,87,182,1,5,0,17,4,0,296,108,206,1,5,1,30,10,0,361,176,75,0,9,0,31,13,304,231,587,1,3,1,40,16,879,0,0,0,0,1,0,3,4,0,1,0,1,1,0,3,6,211,24,0,4,0,4,0,223,243,225,540,1,3,1,31,4,805,1448,6538,29,32,13,1566,92,9718,781,3442,13,26,7,1393,89,0,5751,314,1929,23,5,24,605,111,10620,81178,464,319,196,24629,1481,7418,126305,17552,17047,16939,16261,15949,15678,16364,16901,15836,16843,16166,16373,15269,15209,15055,15532,15858,14711
2014-15,2910,KARNATAKA,UTTARA KANNADA,527,530,4,6,0,22,16,1,1106,505,494,2,0,0,8,14,0,1023,525,523,4,6,0,22,14,0,1094,527,526,4,6,0,22,15,0,1100,13039,49023,2931,518,0,6027,2600,8264,82402,1155,2630,111,23,0,266,155,0,4340,46,0,0,0,0,0,0,46,49,9,0,0,0,0,0,58,420,487,4,6,0,20,16,953,331,422,4,5,0,20,14,796,360,457,4,3,0,18,15,857,527,526,4,6,0,22,15,1100,525,523,4,6,0,22,14,1094,527,530,4,6,0,22,16,1105,527,528,4,6,0,22,16,1103,50,258,4,5,0,20,13,350,246,237,3,3,0,8,5,0,502,272,249,3,4,0,10,8,0,546,56,19,3,4,0,8,6,96,503,492,0,0,0,8,13,1016,452,442,0,0,0,8,5,907,479,471,0,0,0,8,10,968,497,193,0,2,0,2,0,127,695,496,484,1,0,0,7,7,995,1262,3180,66,21,0,180,76,4785,746,1911,64,21,0,189,71,0,3002,406,713,47,2,0,77,84,6563,23913,1283,247,0,2763,1393,4039,40201,5161,4925,5192,5145,5029,5444,5353,5952,6047,4979,4872,4962,4849,4903,4936,5135,5565,5636
2014-15,2911,KARNATAKA,HAVERI,581,833,2,5,2,48,23,0,1494,477,743,0,4,2,12,19,0,1257,577,794,2,5,2,48,17,0,1445,580,800,2,5,2,47,23,0,1459,27195,152865,1322,422,391,20434,3263,16818,222710,1613,5577,48,15,36,773,244,0,8306,3,0,0,0,0,0,1,4,37,3,0,0,0,0,0,40,573,831,2,5,2,47,22,1482,285,596,2,5,2,44,16,950,392,688,2,4,1,38,16,1141,580,800,2,5,2,47,23,1459,577,794,2,5,2,48,17,1445,581,833,2,5,2,48,23,1494,581,833,2,5,2,48,23,1494,580,833,2,5,2,48,22,1492,404,675,0,2,1,20,6,0,1108,533,795,2,5,2,47,22,0,1406,184,76,2,1,0,25,18,306,477,743,0,4,2,12,19,1257,297,693,0,3,1,10,11,1015,313,714,0,3,1,10,11,1052,386,26,0,2,0,0,0,265,414,440,682,0,3,1,11,5,1142,1924,6472,29,14,11,577,85,9112,809,2639,40,5,10,461,82,0,4046,802,2935,8,10,26,312,162,13161,75540,523,142,168,9189,1933,7970,108626,15091,14421,14835,14443,13725,13529,13997,14043,12417,14073,13829,14130,13215,13404,12897,13614,13464,12148
2014-15,2912,KARNATAKA,BELLARY,771,1106,2,13,1,73,40,0,2006,534,864,2,6,1,20,36,0,1463,771,1098,2,7,1,73,33,0,1985,770,1100,2,13,1,73,38,0,1997,45642,281110,1244,962,235,33677,6373,21599,390842,2300,8006,44,59,9,966,337,0,11721,19,0,0,0,1,0,10,30,100,12,0,0,0,0,0,112,666,1003,2,11,1,69,35,1787,367,726,2,10,1,63,24,1193,476,872,2,10,1,66,32,1459,770,1100,2,13,1,73,38,1997,771,1098,2,7,1,73,33,1985,769,1106,2,13,1,73,40,2004,739,1085,2,13,1,73,40,1953,140,464,2,11,1,61,25,704,388,613,1,8,0,16,6,0,1032,576,822,1,11,1,32,29,0,1472,341,129,0,12,0,30,32,544,518,839,1,4,1,19,28,1410,261,414,0,0,1,6,3,685,309,458,0,0,1,7,8,783,412,36,0,5,0,1,1,351,455,479,748,2,5,1,18,13,1266,2993,9238,28,42,1,902,140,13344,1189,4221,15,38,1,603,104,0,6171,1105,3778,29,21,8,363,233,21508,138215,545,752,89,14696,3005,9929,188739,28080,27045,26423,25908,24798,23559,23529,22761,19501,26299,25835,25097,23273,23106,22594,21939,20596,16146
2014-15,2913,KARNATAKA,CHITRADURGA,928,1031,3,18,1,23,23,0,2027,862,894,0,12,1,5,22,0,1796,928,1028,3,16,1,23,18,0,2017,928,1029,3,18,1,23,23,0,2025,28149,146296,1824,1205,234,8495,3523,18465,208191,2119,5949,66,56,23,308,185,0,8706,110,2,0,1,0,1,6,120,101,8,0,0,0,0,0,109,825,990,3,16,1,23,22,1880,430,687,3,16,1,20,17,1174,614,842,3,15,1,20,17,1512,926,1028,3,18,1,23,23,2022,926,1027,3,16,1,23,18,2014,927,1031,3,18,1,23,23,2026,914,1019,3,17,1,22,22,1998,49,279,3,5,1,19,19,375,776,784,0,10,1,6,11,0,1588,814,898,2,14,1,19,21,0,1769,207,90,2,7,0,13,19,338,856,889,0,11,1,5,19,1781,736,822,0,10,0,5,8,1581,772,843,0,11,0,5,10,1641,802,91,0,7,0,0,0,328,900,836,837,0,10,1,5,12,1701,2282,6647,49,56,6,219,80,9339,955,3185,40,30,7,179,65,0,4461,1164,2764,26,26,16,129,120,13802,71164,740,661,91,3818,1923,8798,100997,13865,13514,13520,13162,13224,13207,13321,13381,12866,13289,12913,13147,11977,12316,12535,12537,12283,12242
2014-15,2914,KARNATAKA,DAVANAGERE,815,1037,0,34,1,36,19,0,1942,667,831,0,14,1,8,18,0,1539,815,1019,0,32,1,35,14,0,1916,815,1022,0,34,1,36,19,0,1927,34506,180295,0,2641,238,16233,2859,24686,261458,2286,7260,0,144,19,752,173,0,10634,30,2,0,2,0,0,2,36,67,2,0,0,0,0,0,69,726,989,0,34,1,33,19,1802,405,749,0,29,1,29,14,1227,625,864,0,21,1,32,14,1557,815,1022,0,34,1,36,19,1927,815,1019,0,32,1,35,14,1916,815,1036,0,34,1,36,19,1941,782,1009,0,31,1,36,19,1878,95,428,0,16,1,31,13,584,183,251,0,2,0,6,0,0,442,201,268,0,2,0,8,2,0,481,196,122,0,13,1,18,15,365,665,829,0,14,0,7,9,1524,608,753,0,12,0,7,7,1387,625,803,0,13,0,7,7,1455,590,60,0,15,0,2,0,362,667,658,792,0,12,0,6,5,1473,2708,8321,0,134,3,377,54,11597,1234,3827,0,66,3,491,66,0,5687,1052,3433,0,78,16,261,107,16707,87881,0,1331,110,7152,1650,11898,126729,17653,17108,17034,16411,16732,16415,16794,16582,15468,16315,15954,16321,15253,15759,15543,16083,15501,14472
2014-15,2915,KARNATAKA,SHIMOGA,1024,1204,4,16,0,56,22,0,2326,947,1019,0,9,0,15,17,0,2007,1024,1198,4,16,0,55,20,0,2317,1024,1197,4,16,0,56,22,0,2319,27309,145072,1862,1246,0,16027,2761,22438,216715,1993,6342,61,60,0,671,181,0,9308,82,1,1,1,0,1,0,86,229,25,0,2,0,0,0,256,853,1140,4,16,0,56,19,2088,537,833,4,10,0,51,18,1453,841,1069,4,15,0,47,18,1994,1024,1197,4,16,0,56,22,2319,1024,1198,4,16,0,55,20,2317,1024,1204,4,16,0,56,22,2326,974,1173,4,16,0,55,22,2244,27,322,4,8,0,38,15,414,82,98,0,3,0,4,1,0,188,139,134,0,3,0,5,2,0,283,158,89,3,5,0,28,15,298,944,978,0,7,0,14,10,1953,667,722,0,6,0,12,8,1415,677,739,0,6,0,12,8,1442,930,268,0,6,0,4,0,261,1208,918,960,0,5,0,12,4,1899,2411,7466,28,59,0,510,87,10561,1046,3878,33,39,0,491,91,0,5578,947,2464,28,21,0,180,90,13325,71145,728,577,0,7513,1440,10768,105496,13857,13573,13532,13557,13875,13802,14073,14950,14229,13321,12925,13126,12561,13192,13328,13295,13748,13629
