Year,DISTCD,State Name,DISTNAME,SCH1,SCH2,SCH3,SCH4,SCH5,SCH6,SCH7,SCH9,SCHTOT,SCH1GA,SCH2GA,SCH3GA,SCH4GA,SCH5GA,SCH6GA,SCH7GA,SCH9GA,SCHTOTGA,SCHBOY1,SCHBOY2,SCHBOY3,SCHBOY4,SCHBOY5,SCHBOY6,SCHBOY7,SCHBOY9,SCHBOYTOT,SCHGIR1,SCHGIR2,SCHGIR3,SCHGIR4,SCHGIR5,SCHGIR6,SCHGIR7,SCHGIR9,SCHGIRTOT,ENR1,ENR2,ENR3,ENR4,ENR5,ENR6,ENR7,ENR9,ENRTOT,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCH9,TCHTOT,SCLS1,SCLS2,SCLS3,SCLS4,SCLS5,SCLS6,SCLS7,SCLSTOT,STCH1,STCH2,STCH3,STCH4,STCH5,STCH6,STCH7,STCHTOT,ROAD1,ROAD2,ROAD3,ROAD4,ROAD5,ROAD6,ROAD7,ROADTOT,SPLAY1,SPLAY2,SPLAY3,SPLAY4,SPLAY5,SPLAY6,SPLAY7,SPLAYTOT,SBNDR1,SBNDR2,SBNDR3,SBNDR4,SBNDR5,SBNDR6,SBNDR7,SBNDRTOT,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL4,SGTOIL5,SGTOIL6,SGTOIL7,SGTOILTOT,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL4,SBTOIL5,SBTOIL6,SBTOIL7,SBTOILTOT,SWAT1,SWAT2,SWAT3,SWAT4,SWAT5,SWAT6,SWAT7,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAM9,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMN9,SRAMNTOT,ESTD1,ESTD2,ESTD3,ESTD4,ESTD5,ESTD6,ESTD7,ESTDTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT,ENR501,ENR502,ENR503,ENR504,ENR505,ENR506,ENR507,ENR509,ENR50TOT,SMC1,SMC2,SMC3,SMC4,SMC5,SMC6,SMC7,SMCTOT,CLS1,CLS2,CLS3,CLS4,CLS5,CLS6,CLS7,CLSTOT,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHF9,TCHFTOT,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,ENRG1,ENRG2,ENRG3,ENRG4,ENRG5,ENRG6,ENRG7,ENRG9,ENRGTOT,C1_B,C2_B,C3_B,C4_B,C5_B,C6_B,C7_B,C8_B,C9_B,C1_G,C2_G,C3_G,C4_G,C5_G,C6_G,C7_G,C8_G,C9_G
2014-15,2916,KARNATAKA,UDUPI,274,650,6,7,5,20,6,0,968,262,556,0,4,4,2,6,0,834,274,650,6,7,5,20,6,0,968,274,649,6,7,5,20,6,0,967,7324,92096,4360,302,808,6010,665,13941,125506,600,3468,146,15,85,278,48,0,4640,4,1,0,0,0,0,1,6,42,39,0,3,0,0,0,84,232,628,6,7,5,20,6,904,183,571,6,7,5,20,3,795,103,500,5,4,4,16,5,637,269,641,6,7,5,20,6,954,274,650,6,7,5,20,6,968,273,650,6,7,5,20,6,967,262,646,6,7,5,20,6,952,23,340,6,4,5,20,5,403,232,402,1,2,2,2,1,0,642,240,507,2,5,3,9,4,0,770,41,60,3,2,0,14,4,124,261,556,0,4,4,2,5,832,236,482,0,3,4,2,1,728,256,523,0,4,4,2,1,790,251,130,0,5,0,0,1,198,387,259,538,0,4,3,2,2,808,805,4835,78,16,26,181,15,5956,339,2453,119,13,33,226,33,0,3216,261,1015,27,2,52,52,15,3605,44837,1968,145,313,2818,293,6709,60688,7965,7808,7703,7832,7951,8080,8357,9122,9332,7494,7200,7581,7336,7444,7548,7767,8318,8585
2014-15,2917,KARNATAKA,CHIKKAMANGALORE,864,836,4,2,2,37,20,1,1766,815,718,0,0,2,7,19,1,1561,863,832,4,2,2,37,18,0,1758,864,831,4,2,2,37,20,0,1760,17135,77906,2331,233,380,10310,2825,12922,124042,1656,4449,118,8,37,469,167,0,6904,54,0,0,0,0,1,1,56,182,21,0,0,0,0,0,203,784,791,4,2,2,33,20,1636,513,674,4,2,2,36,18,1249,649,763,4,2,2,32,14,1466,864,831,4,2,2,37,20,1760,863,832,4,2,2,37,18,1758,864,836,4,2,2,37,20,1765,847,834,4,2,2,37,20,1746,46,349,4,2,2,32,18,453,108,247,0,0,1,7,3,0,366,229,282,0,0,1,8,3,0,523,132,53,2,2,1,19,16,225,803,710,0,0,0,4,12,1529,666,638,0,0,0,4,8,1316,684,653,0,0,0,4,8,1349,820,306,0,0,0,2,0,281,1128,768,691,0,0,1,4,9,1473,2077,5420,58,6,25,329,58,7973,766,2507,76,7,10,331,57,0,3754,890,1942,42,1,27,138,110,8488,37984,1063,148,156,4688,1453,6177,60157,7921,7722,7806,7640,7754,8183,8144,8715,8675,7466,7389,7414,7210,7450,7496,7828,7904,8362
2014-15,2918,KARNATAKA,TUMKUR,1483,962,0,16,1,41,14,0,2517,1431,796,0,11,1,5,14,0,2258,1482,960,0,16,1,41,10,0,2510,1483,961,0,16,1,41,13,0,2515,31632,115853,0,987,228,19824,1891,21144,191559,2844,5115,0,42,17,695,111,0,8824,179,0,0,0,0,0,0,179,302,11,0,6,0,0,0,319,1304,918,0,14,1,41,12,2290,477,591,0,14,1,40,11,1134,1081,805,0,10,1,40,9,1946,1483,961,0,16,1,41,13,2515,1482,960,0,16,1,41,10,2510,1483,962,0,16,1,41,14,2517,1457,948,0,16,1,40,14,2476,76,381,0,4,1,37,7,506,254,227,0,2,0,4,1,0,488,306,248,0,2,0,4,1,0,561,135,67,0,2,0,16,13,233,1428,796,0,11,0,4,12,2251,1244,731,0,5,0,4,3,1987,1310,765,0,9,0,4,9,2097,1425,238,0,10,0,0,0,423,1673,1410,778,0,11,0,4,9,2212,3333,6288,0,49,17,565,44,10296,1509,3451,0,18,6,470,33,0,5487,1335,1651,0,24,11,225,78,15867,55613,0,471,108,8897,1105,9521,91582,12085,11800,12316,12161,12640,12376,12266,14333,14605,11714,11600,11497,11257,11113,11294,11061,12046,12227
2014-15,2919,KARNATAKA,KOLAR,1282,821,5,8,0,85,20,0,2221,1227,655,0,8,0,13,20,0,1923,1282,816,5,4,0,85,16,0,2208,1282,819,5,7,0,85,20,0,2218,32146,111071,3222,739,0,29555,2508,12730,191971,2584,4733,106,33,0,1259,138,0,8853,202,0,0,0,0,0,0,202,243,17,0,0,0,0,0,260,1175,796,5,8,0,85,20,2089,525,502,5,8,0,74,14,1128,917,678,5,7,0,81,18,1706,1281,819,5,7,0,85,20,2217,1281,816,5,4,0,85,16,2207,1281,821,5,8,0,85,20,2220,1253,813,5,8,0,85,20,2184,117,410,5,4,0,79,12,627,221,168,2,3,0,8,2,0,404,238,172,2,3,0,9,3,0,427,160,90,2,3,0,44,16,315,1227,649,0,8,0,12,20,1916,1146,614,0,8,0,12,15,1795,1173,625,0,8,0,12,16,1834,1196,196,1,3,0,2,3,190,1401,1221,628,0,8,0,10,7,1874,2945,5793,82,45,0,975,76,9916,1313,3186,53,26,0,887,50,0,5515,1271,1547,53,7,0,372,88,16657,54075,1389,524,0,13045,1299,6336,93325,12960,12591,12368,12443,12313,11789,11855,12327,11717,12130,11680,12016,11482,11988,11313,11181,11535,11060
2014-15,2920,KARNATAKA,BANGALORE U SOUTH,744,1113,746,4,4,258,7,1,2877,462,637,7,3,0,7,4,0,1120,744,1104,740,4,4,257,6,0,2859,743,1108,744,3,3,258,6,0,2865,40501,217114,332229,242,527,104358,574,21457,717002,2074,8161,12712,9,42,4226,58,0,27282,57,3,3,0,1,1,0,65,98,26,4,1,0,3,0,132,668,1068,736,4,4,249,7,2737,325,762,647,3,4,230,7,1978,549,955,703,3,4,241,7,2462,728,1107,743,3,3,258,6,2848,729,1103,739,4,4,257,6,2842,719,1110,743,4,4,256,7,2844,738,1112,745,4,4,258,7,2869,331,833,730,2,4,248,6,2154,103,120,26,0,2,24,0,0,275,124,164,36,0,2,36,0,0,362,325,306,267,1,3,151,3,1057,462,634,2,3,0,6,4,1111,124,63,0,0,0,0,1,188,138,76,0,0,0,1,1,216,487,176,23,1,1,9,2,272,700,452,539,3,1,0,5,2,1002,2896,9758,12181,9,29,3966,54,28893,1742,6888,10759,7,25,3545,43,0,23009,332,1273,1953,2,17,681,15,19825,110047,159222,64,198,48963,266,10751,349336,55899,51419,47846,45944,44318,41589,40402,40249,36944,52735,47717,45734,43908,42442,39983,38719,38098,35109
2014-15,2921,KARNATAKA,BANGALORE RURAL,734,528,14,4,1,80,5,1,1367,690,448,1,3,1,6,5,1,1154,733,524,13,4,1,80,4,0,1359,734,525,14,4,1,80,5,0,1363,17425,57903,4430,356,229,29434,614,8331,118722,1731,3068,226,18,28,1355,46,0,6472,124,3,2,1,0,0,1,131,123,8,0,0,0,0,0,131,694,510,14,4,1,76,5,1304,256,309,14,2,1,76,4,662,579,455,12,4,1,72,4,1127,733,525,14,4,1,80,5,1362,732,524,13,4,1,80,4,1358,733,528,14,4,1,80,5,1365,724,518,14,4,1,80,5,1346,65,237,12,2,1,74,5,396,170,132,2,2,0,13,0,0,319,252,166,6,2,0,37,0,0,463,43,47,5,1,0,36,4,136,686,439,0,3,1,6,3,1138,476,313,0,0,1,4,1,795,527,343,0,2,1,4,1,878,691,158,4,1,0,4,1,109,860,659,426,0,3,0,6,3,1097,1690,3368,169,15,15,1011,27,6295,918,1911,135,13,10,900,19,0,3906,803,1149,91,5,18,442,27,8679,28595,1946,178,96,13419,348,4043,57304,8387,8113,7732,7785,7579,7210,7148,7464,7399,7730,7479,7307,6972,7010,6854,6827,7125,7037
2014-15,2922,KARNATAKA,MANDYA,988,1046,4,13,1,42,28,0,2122,924,867,1,9,1,3,26,0,1831,982,1038,4,10,1,42,22,0,2099,987,1037,4,13,1,42,27,0,2111,23391,121873,797,1561,224,14322,4361,18928,185457,1872,5201,71,64,20,576,228,0,8032,63,0,0,0,0,2,2,67,268,41,0,0,0,0,0,309,948,1028,4,13,1,40,28,2062,454,721,4,9,1,39,19,1247,805,892,4,11,1,35,18,1766,986,1037,4,13,1,42,27,2110,981,1038,4,10,1,42,22,2098,988,1045,4,13,1,42,28,2121,986,1044,4,13,1,42,28,2118,56,414,3,8,1,39,24,545,330,239,1,4,0,3,4,0,581,334,247,2,4,0,3,4,0,594,64,71,2,3,0,24,21,185,921,853,1,7,1,3,18,1804,799,738,0,6,1,2,4,1550,824,769,0,6,1,2,7,1609,918,239,0,3,0,2,0,300,1162,921,834,1,9,1,3,8,1777,2500,7242,56,61,6,457,118,10440,864,3124,44,46,13,411,95,0,4597,1008,2077,27,18,7,165,133,11881,58754,332,827,104,6295,2169,8891,89253,12310,11921,11421,11411,11911,12221,12073,12936,12974,11768,11072,10941,10316,11164,11271,11119,11602,11917
2014-15,2923,KARNATAKA,HASSAN,1476,1217,0,21,1,42,27,0,2784,1409,1037,0,10,1,2,27,0,2486,1476,1205,0,19,1,42,22,0,2765,1475,1207,0,20,1,42,27,0,2772,30366,111827,0,1652,220,18043,3870,21214,187192,2899,5832,0,71,23,705,200,0,9730,216,1,0,0,0,2,6,225,263,15,0,1,0,0,0,279,1462,1208,0,20,1,42,27,2760,689,786,0,17,1,40,14,1547,1032,949,0,21,1,40,19,2062,1475,1207,0,20,1,42,27,2772,1476,1205,0,19,1,42,22,2765,1476,1217,0,21,1,42,27,2784,1475,1215,0,21,1,42,27,2781,72,402,0,14,1,39,22,550,494,578,0,6,0,7,3,0,1088,1033,809,0,9,1,29,20,0,1901,144,71,0,10,0,20,23,268,1406,1030,0,10,1,1,11,2459,1269,958,0,6,1,1,2,2237,1321,1003,0,7,1,1,3,2336,1416,473,0,6,0,0,0,408,1895,1409,1037,0,10,1,2,24,2483,3262,7433,0,83,2,489,83,11352,1386,3379,0,46,8,499,72,0,5390,1512,2453,0,25,15,206,128,15160,55163,0,829,106,8058,2134,10337,91787,12026,11696,11622,11600,11796,11866,12019,12780,13096,11508,11475,11406,10752,11204,11570,11685,12187,12798
2014-15,2924,KARNATAKA,DAKSHINA KANNADA,337,1077,3,20,1,27,11,0,1476,294,850,1,8,1,11,10,0,1175,337,1072,3,19,1,27,9,0,1468,337,1074,3,18,1,27,9,0,1469,12292,205075,1329,1651,195,7889,1350,26821,256602,668,6647,39,61,24,279,71,0,7789,2,0,1,1,0,0,1,5,94,43,0,1,0,0,0,138,310,1038,3,20,1,27,10,1409,308,1012,3,19,1,27,7,1377,249,863,3,18,1,25,8,1167,337,1074,3,18,1,27,9,1469,337,1072,3,19,1,27,9,1468,337,1077,3,20,1,27,11,1476,337,1076,3,20,1,27,11,1475,47,592,3,12,1,23,11,689,79,278,3,7,0,13,1,0,381,90,354,3,12,0,15,2,0,476,68,118,2,11,1,12,6,218,292,849,0,8,1,10,7,1167,267,693,0,2,1,7,4,974,267,722,0,2,1,8,4,1004,282,117,1,6,0,4,0,438,410,286,822,1,8,1,8,5,1131,1177,8859,40,84,5,304,33,10502,508,5434,28,44,5,230,50,0,6299,160,1213,11,17,19,49,21,5929,99483,564,655,102,3595,697,12724,123749,16001,15930,15892,16350,16411,16789,17058,18422,19086,14867,15006,14985,15242,15263,15279,15967,17140,17177
2014-15,2925,KARNATAKA,KODAGU,163,347,1,1,3,22,5,0,542,143,283,0,1,3,4,5,0,439,163,347,1,1,3,22,5,0,542,163,347,1,1,2,22,5,0,541,4357,46543,389,65,610,7154,729,5944,65791,373,2019,22,0,56,337,48,0,2855,6,3,0,0,0,0,1,10,30,15,0,0,0,0,0,45,156,340,1,1,3,22,5,528,116,308,1,1,3,21,4,454,140,314,1,0,2,20,5,482,163,347,1,1,2,22,5,541,163,347,1,1,3,22,5,542,163,347,1,1,3,22,5,542,157,344,1,1,3,22,5,533,25,243,1,0,3,22,5,299,45,81,0,1,0,5,0,0,132,48,81,0,1,1,5,1,0,137,38,32,0,1,1,8,4,84,141,283,0,0,1,3,4,432,118,251,0,0,1,2,0,372,132,257,0,0,1,2,0,392,151,84,0,0,0,1,0,129,236,141,267,0,0,3,3,0,414,497,2352,8,2,22,229,13,3123,287,1653,22,0,23,274,11,0,2270,86,366,0,0,33,63,34,2180,23244,159,33,205,3273,359,2795,32248,4022,3999,3950,4018,4174,4295,4452,4633,4669,3880,3914,3954,3907,4013,4082,4203,4295,4373
2014-15,2926,KARNATAKA,MYSORE,1088,1348,33,21,3,107,26,0,2626,964,1072,7,13,3,24,23,0,2106,1084,1336,32,14,3,106,21,0,2596,1087,1341,31,21,2,106,26,0,2614,38596,229977,14710,2108,410,40845,3570,29891,360107,3060,9940,774,127,51,1988,293,0,16233,84,0,0,0,0,0,2,86,69,7,0,0,0,0,0,76,1028,1319,33,20,3,107,26,2536,488,902,33,19,2,99,17,1560,938,1262,31,17,3,102,21,2374,1076,1340,31,21,2,106,26,2602,1074,1336,32,14,3,106,21,2586,1086,1348,33,21,3,107,26,2624,1043,1319,33,21,3,105,23,2547,162,724,33,16,3,98,16,1052,230,298,1,1,0,14,3,0,547,260,325,1,3,0,16,5,0,610,197,108,6,11,2,47,24,395,959,1061,4,13,3,24,20,2084,830,876,1,7,2,19,10,1745,866,924,1,8,2,19,10,1830,899,129,1,2,0,4,0,379,1035,947,1004,3,11,0,24,13,2002,2955,10264,465,110,13,1218,95,15120,1668,6307,523,86,14,1389,107,0,10094,1330,3348,212,36,31,393,160,19655,112800,6714,1211,114,19114,1846,14524,175978,23757,22859,22364,22559,23025,22804,22421,24340,23657,23306,21737,21535,21069,21756,21759,21481,23335,22540
2014-15,2927,KARNATAKA,CHAMARAJANAGARA,416,514,0,13,0,5,17,0,965,378,436,0,4,0,3,17,0,838,416,512,0,12,0,5,14,0,959,415,512,0,13,0,5,17,0,962,14396,82340,0,1224,0,1754,2350,8691,110755,955,2967,0,55,0,91,151,0,4219,42,1,0,0,0,0,2,45,95,22,0,0,0,0,0,117,322,474,0,12,0,4,16,828,165,315,0,11,0,5,9,505,300,443,0,11,0,4,12,770,406,509,0,13,0,5,17,950,416,512,0,12,0,5,14,959,416,514,0,13,0,5,17,965,370,493,0,12,0,5,15,895,34,220,0,7,0,3,11,275,40,93,0,0,0,2,1,0,136,55,103,0,0,0,2,1,0,161,82,35,0,8,0,2,16,143,376,435,0,3,0,3,17,834,293,349,0,2,0,2,2,648,344,382,0,2,0,2,14,744,340,61,0,2,0,0,0,173,403,348,413,0,3,0,3,4,771,1111,3568,0,61,0,43,56,4839,442,1662,0,37,0,47,54,0,2242,513,1303,0,18,0,41,97,6928,40070,0,567,0,817,1271,4170,53823,7341,7152,7132,7109,7183,6986,6923,7106,6923,6894,6796,6816,6685,6615,6676,6632,6709,6658
2014-15,2928,KARNATAKA,BANGALORE U NORTH,457,720,42,4,3,652,8,0,1886,259,416,7,2,3,19,2,0,708,456,708,41,4,3,652,8,0,1872,457,712,42,4,3,652,8,0,1878,30313,162552,29086,427,289,252831,598,18535,494631,1560,5597,979,25,30,10155,55,0,18401,22,2,0,0,0,3,0,27,27,9,0,0,0,1,0,37,393,692,38,3,3,636,8,1773,200,495,28,3,3,536,7,1272,392,627,39,4,3,618,5,1688,455,712,41,4,3,652,8,1875,454,708,40,4,3,652,8,1869,455,720,41,4,3,651,8,1882,449,716,39,4,3,648,8,1867,190,540,34,3,2,626,6,1401,146,106,10,0,0,57,2,0,321,153,132,10,0,0,86,2,0,383,222,171,18,2,0,217,4,634,256,411,3,2,2,16,2,692,0,5,0,0,0,0,0,5,0,10,0,0,0,1,0,11,271,84,3,1,2,34,3,278,398,214,315,2,1,1,11,0,544,2094,6843,796,35,18,9904,53,19743,1291,4744,799,18,11,8456,37,0,15356,268,850,179,7,19,1699,18,14721,81983,14712,203,115,117495,230,9056,238515,36641,34403,33009,32458,31599,29793,28870,29343,28137,34188,31360,30701,30380,29512,27798,27490,27086,25529
2014-15,2929,KARNATAKA,CHIKKABALLAPURA,1032,727,1,9,2,45,20,0,1836,990,572,0,6,2,3,17,0,1590,1032,722,1,5,1,45,16,0,1822,1029,721,1,8,2,45,19,0,1825,24699,97808,70,1067,382,14700,2609,10646,151981,1954,4065,14,35,26,531,157,0,6782,121,2,0,0,0,0,2,125,214,18,0,0,0,0,0,232,891,684,1,9,2,45,20,1652,414,480,1,7,2,43,14,961,681,593,1,9,2,40,19,1345,1029,720,1,8,2,45,19,1824,1032,721,1,5,1,45,16,1821,1032,725,1,9,2,44,20,1833,1010,710,1,9,2,42,19,1793,57,303,1,7,2,40,13,423,101,94,0,0,0,3,1,0,199,189,134,0,1,1,3,2,0,330,119,74,1,5,1,25,17,242,985,567,0,5,2,3,14,1576,805,489,0,4,2,3,7,1310,883,522,0,4,2,3,9,1423,970,165,0,2,0,4,2,237,1143,944,532,0,6,1,3,5,1491,2415,5257,5,39,5,489,90,8300,791,2275,11,21,11,341,50,0,3500,1161,1787,3,14,15,190,106,12674,47063,19,629,250,6256,1338,5109,73338,10428,9851,9679,9888,10024,9362,9295,10116,9604,9783,9232,9178,9062,9002,8918,8842,9321,9214
2014-15,2930,KARNATAKA,BELGAUM CHIKKODI,963,1418,1,23,3,59,43,0,2510,795,1160,0,7,3,23,33,0,2021,959,1353,1,20,3,59,39,0,2434,962,1363,1,23,3,59,42,0,2453,45727,289536,0,2292,1260,23411,7524,30555,400305,2152,8894,3,84,65,837,443,0,12478,60,3,0,3,0,1,5,72,253,25,0,0,0,0,0,278,833,1354,1,23,3,59,42,2315,700,1211,1,19,3,53,35,2022,531,1097,1,21,3,51,35,1739,962,1363,1,23,3,59,42,2453,959,1353,1,20,3,59,39,2434,963,1418,1,23,3,59,43,2510,699,1294,1,23,3,56,40,2116,86,393,0,11,3,44,37,574,215,313,0,6,0,7,2,0,543,230,321,0,7,0,9,3,0,570,429,189,1,13,0,21,29,682,792,1147,0,6,3,22,31,2001,368,655,0,2,3,12,5,1045,412,704,0,3,3,15,5,1142,663,106,1,5,0,0,2,309,777,744,1048,0,4,1,20,13,1830,2806,10609,4,81,26,628,257,14411,961,4052,3,45,25,407,139,0,5632,1191,4842,0,39,40,430,304,21995,141308,0,1060,576,9696,3177,14288,192100,28181,27497,26710,26271,24622,24526,25265,25133,23202,26135,25763,25530,23748,22802,22401,23129,22592,20029
2014-15,2931,KARNATAKA,TUMKUR MADHUGIRI,825,592,0,4,0,20,16,0,1457,785,535,0,4,0,2,15,0,1341,825,590,0,3,0,20,12,0,1450,824,590,0,4,0,20,16,0,1454,21016,70078,0,321,0,6977,2337,11764,112493,1608,2938,0,12,0,303,122,0,4983,92,0,0,0,0,0,2,94,174,11,0,0,0,0,0,185,730,553,0,4,0,19,16,1322,387,389,0,2,0,18,13,809,663,551,0,4,0,17,13,1248,824,590,0,4,0,20,16,1454,825,590,0,3,0,20,12,1450,825,592,0,4,0,20,16,1457,794,580,0,4,0,18,16,1412,45,204,0,2,0,18,12,281,185,212,0,2,0,5,3,0,407,212,221,0,2,0,5,3,0,443,115,19,0,1,0,14,14,163,739,534,0,3,0,2,3,1281,694,524,0,3,0,2,2,1225,713,533,0,3,0,2,2,1253,765,66,0,2,0,0,1,198,834,759,528,0,4,0,2,9,1302,1864,3670,0,18,0,181,54,5787,708,1484,0,9,0,164,37,0,2402,900,1454,0,3,0,139,85,10439,34015,0,225,0,2858,1360,5661,54558,7590,7199,7150,7124,7363,6981,6916,7612,7574,7235,6877,6859,6326,6893,6498,6642,7228,7221
2014-15,2932,KARNATAKA,RAMANAGARA,935,588,3,8,0,24,22,0,1580,904,466,0,6,0,3,22,0,1401,935,587,3,6,0,24,19,0,1574,935,585,3,7,0,24,22,0,1576,20261,75352,989,681,0,6761,2808,11073,117925,1764,3190,48,35,0,327,156,0,5520,185,0,0,0,0,2,5,192,261,16,0,0,0,0,0,277,864,573,3,8,0,24,22,1494,308,383,3,8,0,22,18,742,638,492,3,7,0,21,20,1181,934,585,3,7,0,24,22,1575,934,587,3,6,0,24,19,1573,934,588,3,8,0,24,22,1579,934,588,3,8,0,24,22,1579,63,311,3,4,0,22,19,422,58,44,0,0,0,0,1,0,103,139,69,0,0,0,2,2,0,212,71,58,2,2,0,16,17,166,893,464,0,5,0,2,14,1378,807,433,0,2,0,2,11,1255,851,448,0,5,0,2,12,1318,885,133,0,1,0,0,1,211,1020,873,449,0,6,0,3,5,1336,2028,4102,34,42,0,230,59,6495,910,2080,37,25,0,219,56,0,3327,854,1110,11,10,0,108,100,10249,36434,388,381,0,2815,1300,5402,56969,7893,7570,7363,7427,7530,7602,7753,7818,7873,7443,7173,7197,6764,7111,6739,7276,7266,7276
2014-15,2933,KARNATAKA,YADAGIRI,639,569,0,6,1,14,18,0,1247,467,481,0,3,1,10,17,0,979,636,565,0,3,1,14,15,0,1234,639,565,0,6,1,14,18,0,1243,43007,151463,0,620,234,6599,2763,10901,215587,1591,3505,0,18,14,171,145,0,5444,13,1,0,0,0,1,3,18,107,12,0,0,0,0,0,119,485,512,0,4,1,10,14,1026,297,340,0,6,1,13,10,667,273,367,0,4,1,10,11,666,586,541,0,6,1,14,17,1165,630,563,0,3,1,14,15,1226,638,569,0,6,1,14,18,1246,578,540,0,6,1,14,16,1155,47,166,0,1,1,8,11,234,340,324,0,2,1,9,6,0,682,397,377,0,2,1,13,11,0,801,360,69,0,5,0,5,15,454,467,480,0,3,1,10,15,976,210,247,0,0,0,6,4,467,256,294,0,1,0,8,4,563,276,10,0,1,0,0,1,113,288,424,426,0,3,1,9,1,864,2056,4507,0,22,7,120,50,6762,709,1527,0,15,4,69,33,0,2357,882,1978,0,3,10,102,112,20281,71812,0,532,86,2916,1350,4637,101614,17261,16486,15872,14713,14229,12774,12364,10274,8077,15972,15099,14780,13196,12675,11444,10314,8134,6059
2014-15,2934,KARNATAKA,UTTARA KANNADA SIRSI,661,552,2,2,1,12,9,0,1239,649,524,1,1,1,6,8,0,1190,661,550,2,2,1,12,7,0,1235,661,550,2,2,1,12,9,0,1237,15579,63712,674,77,213,2588,911,8676,92430,1065,2461,24,3,24,149,78,0,3804,14,0,0,0,0,0,1,15,211,26,0,1,0,0,0,238,487,499,2,2,1,12,9,1012,423,430,2,2,1,11,5,874,428,480,2,2,1,12,4,929,661,550,2,2,1,12,9,1237,661,550,2,2,1,12,7,1235,660,552,2,2,1,12,9,1238,646,548,2,2,1,12,9,1220,28,230,2,1,1,9,8,279,534,467,2,1,1,8,4,0,1017,591,502,2,2,1,10,9,0,1117,118,11,1,0,0,4,6,140,647,520,1,0,1,6,7,1182,492,438,1,0,0,6,4,941,503,448,1,0,0,6,4,962,611,188,0,1,0,1,1,102,802,577,472,0,1,1,6,1,1058,1513,3201,47,3,8,112,32,4916,573,1634,12,2,6,96,50,0,2373,491,818,12,1,18,53,28,7642,30612,293,24,92,1228,469,4066,44426,5754,5717,6112,6027,6125,5864,6206,6199,5966,5515,5290,5871,5464,5721,5326,5632,5607,5240
