Year,DISTCD,STATNAME,DISTNAME,C1_B,C2_B,C3_B,C4_B,C5_B,C6_B,C7_B,C8_B,C9_B,C1_G,C2_G,C3_G,C4_G,C5_G,C6_G,C7_G,C8_G,C9_G,C15A,C68A,C1_BD,C2_BD,C3_BD,C4_BD,C5_BD,C6_BD,C7_BD,C8_BD,C1_GD,C2_GD,C3_GD,C4_GD,C5_GD,C6_GD,C7_GD,C8_GD,C1_BR,C2_BR,C3_BR,C4_BR,C5_BR,C6_BR,C7_BR,C8_BR,C9_BR,C1_GR,C2_GR,C3_GR,C4_GR,C5_GR,C6_GR,C7_GR,C8_GR,C9_GR,SCPTOT,SCPTOT_G,SCUTOT,SCUTOT_G,STPTOT,STPTOT_G,STUTOT,STUTOT_G,OBPTOT,OBUTOT,OBPTOT_G,OBUTOT_G,MUPTOT,MUUTOT,MUPTOT_G,MUUTOT_G,BLC1,LVC1,HEC1,SPC1,LOC1,MEC1,LEC1,CPC1,AUC1,MUC1,BLC2,LVC2,HEC2,SPC2,LOC2,MEC2,LEC2,CPC2,AUC2,MUC2,BLC3,LVC3,HEC3,SPC3,LOC3,MEC3,LEC3,CPC3,AUC3,MUC3,BLC4,LVC4,HEC4,SPC4,LOC4,MEC4,LEC4,CPC4,AUC4,MUC4,BLC5,LVC5,HEC5,SPC5,LOC5,MEC5,LEC5,CPC5,AUC5,MUC5,BLC6,LVC6,HEC6,SPC6,LOC6,MEC6,LEC6,CPC6,AUC6,MUC6,BLC7,LVC7,HEC7,SPC7,LOC7,MEC7,LEC7,CPC7,AUC7,MUC7,BLC8,LVC8,HEC8,SPC8,LOC8,MEC8,LEC8,CPC8,AUC8,MUC8,TOTCLGD1G,TOTCLGD2G,TOTCLGD3G,TOTCLGD4G,TOTCLGD5G,TOTCLGD6G,TOTCLGD7G,TOTCLMI1G,TOTCLMI2G,TOTCLMI3G,TOTCLMI4G,TOTCLMI5G,TOTCLMI6G,TOTCLMI7G,TOTCLMJ1G,TOTCLMJ2G,TOTCLMJ3G,TOTCLMJ4G,TOTCLMJ5G,TOTCLMJ6G,TOTCLMJ7G,TOTCLOT1G,TOTCLOT2G,TOTCLOT3G,TOTCLOT4G,TOTCLOT5G,TOTCLOT6G,TOTCLOT7G,TCHBS1,TCHBS2,TCHBS3,TCHBS4,TCHBS5,TCHBS6,TCHBS7,TCHSEC1,TCHSEC2,TCHSEC3,TCHSEC4,TCHSEC5,TCHSEC6,TCHSEC7,TCHHS1,TCHHS2,TCHHS3,TCHHS4,TCHHS5,TCHHS6,TCHHS7,TCHGD1,TCHGD2,TCHGD3,TCHGD4,TCHGD5,TCHGD6,TCHGD7,TCHPG1,TCHPG2,TCHPG3,TCHPG4,TCHPG5,TCHPG6,TCHPG7,TCHMD1,TCHMD2,TCHMD3,TCHMD4,TCHMD5,TCHMD6,TCHMD7,TCHPD1,TCHPD2,TCHPD3,TCHPD4,TCHPD5,TCHPD6,TCHPD7,TCHNR1,TCHNR2,TCHNR3,TCHNR4,TCHNR5,TCHNR6,TCHNR7,TCHCON1,TCHCON2,TCHCON3,TCHCON4,TCHCON5,TCHCON67,TCHCON8,TCHCON9,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHN1,TCHN2,TCHN3,TCHN4,TCHN5,TCHN6,TCHN7,TCHCM1,TCHCM2,TCHCM3,TCHCM4,TCHCM5,TCHCM6,TCHCM7,TCHCF1,TCHCF2,TCHCF3,TCHCF4,TCHCF5,TCHCF6,TCHCF7,TCHCN1,TCHCN2,TCHCN3,TCHCN4,TCHCN5,TCHCN6,TCHCN7,TLM_R1,TLM_R2,TLM_R3,TLM_R4,TLM_R5,TLM_R6,TLM_R7,TLME,TLMR,CONTIE,CONTIR,CONTI_R1,CONTI_R2,CONTI_R3,CONTI_R4,CONTI_R5,CONTI_R6,CONTI_R7,PIDAY30,PIDAYSCH,UIDAY35,UIDAYSCH,M1,M2,M3,M4,M5,ENRE11,ENRE12,ENRE13,ENRE14,ENRE15,ENRE16,ENRE17,ENRE21,ENRE22,ENRE23,ENRE24,ENRE25,ENRE26,ENRE27,ENRE31,ENRE32,ENRE33,ENRE34,ENRE35,ENRE36,ENRE37,ENRE41,ENRE42,ENRE43,ENRE44,ENRE45,ENRE46,ENRE47,ENRE51,ENRE52,ENRE53,ENRE54,ENRE55,ENRE56,ENRE57,TCH_5556M,TCH_5556F,TCH_5556T,TCH_5758M,TCH_5758F,TCH_5758T,TCH_5960M,TCH_5960F,TCH_5960T,PPTR30,UPTR35,PSCR30,USCR35,NOTCH_ASS,TCHINV,PTXT_ALL,PTXT_SC,PTXT_ST,PUNI_ALL,PUNI_SC,PUNI_ST,UTXT_ALL,UTXT_SC,UTXT_ST,UUNI_ALL,UUNI_SC,UUNI_ST,TOTCLS1G,TOTCLS2G,TOTCLS3G,TOTCLS4G,TOTCLS5G,TOTCLS6G,TOTCLS7G
2015-16,2910,KARNATAKA,UTTARA KANNADA,4987,5123,4949,5232,5218,5055,5486,5455,5955,4757,4947,4863,4968,4914,4901,4912,5173,5498,45872,25819,131,126,132,168,160,165,232,158,108,91,122,131,122,126,159,98,3,0,0,2,5,3,0,21,135,4,2,2,2,5,1,1,3,44,3390,1657,2205,1072,933,496,577,253,41810,25608,20587,12462,8081,4375,4122,2257,1,42,15,20,41,45,29,3,1,42,0,46,16,21,23,67,16,4,3,21,0,55,31,32,19,37,41,5,1,33,0,61,28,28,39,48,52,1,7,35,1,66,22,36,21,33,71,3,2,27,1,61,44,24,30,33,58,7,2,31,1,118,36,28,41,25,70,2,3,67,0,67,31,39,43,12,42,5,1,16,883,2197,68,13,4,176,76,225,506,0,0,0,17,2,144,507,0,0,0,3,0,166,359,5,0,4,28,9,180,460,20,3,0,27,28,208,422,16,1,0,29,8,447,928,21,3,3,95,16,244,539,17,6,1,119,59,51,150,35,5,5,24,41,2,12,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,25,19,1,0,1,0,395,678,48,2,6,82,81,737,1833,63,16,3,213,73,0,0,0,0,0,0,0,2,5,0,0,0,2,0,25,16,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,600,600,7040841,7529946,433,418,0,0,0,6,2,250897,1074,134997,578,5,19,18,4,10,10584,33436,0,36,0,2405,1053,1157,9199,1945,385,112,4169,1050,1337,4332,0,0,0,807,173,0,0,941,0,0,0,0,0,24,0,0,0,0,0,68,103,171,47,71,118,2,0,2,37,13,44,38,0,0,30121,2461,785,28533,2414,784,18814,1627,452,15467,1420,424,1252,3210,68,13,4,196,78
2015-16,2911,KARNATAKA,HAVERI,14594,14818,14192,14673,14336,13498,13508,13633,13139,13861,13855,13670,14002,13111,13223,12803,13268,12354,132980,64801,182,212,217,340,328,316,313,299,119,130,193,252,231,238,198,224,28,29,14,10,18,12,13,37,216,17,6,13,16,22,9,12,17,86,22211,10749,12194,5993,12665,6212,7072,3499,101568,56939,49407,28121,30205,17709,14973,8964,9,21,14,33,55,77,12,6,3,71,7,27,34,26,57,97,15,5,1,73,9,40,39,65,60,104,19,6,2,66,8,71,45,87,124,116,14,5,3,119,9,67,44,89,105,104,34,6,2,99,10,82,46,57,106,93,41,6,3,110,18,85,48,50,80,106,19,2,4,99,3,99,59,59,112,88,37,5,0,61,1434,4251,39,21,6,560,88,225,1048,0,0,0,41,7,238,1074,0,0,0,25,1,120,332,0,7,0,70,29,385,1172,9,4,4,182,96,185,676,8,3,0,104,1,825,2676,14,13,0,381,54,183,589,21,2,0,121,35,52,202,1,2,21,44,20,4,21,1,0,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,22,2,3,1,0,0,800,2820,10,10,18,359,138,834,2516,44,14,7,487,69,0,0,0,0,0,0,0,0,5,0,0,0,1,9,1,13,0,0,0,0,7,0,0,0,0,0,0,0,3,4,0,0,0,0,1,28500,44506,10596432,11091388,430,626,0,2,0,14,3,342079,1473,214667,924,5,18,19,0,0,20930,125436,981,388,0,13367,604,5855,19684,0,62,0,3348,0,620,2862,1082,130,243,6306,2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,64,167,47,27,74,0,0,0,149,19,258,144,2145,12,97270,18580,9733,88199,17091,9099,62160,10067,6552,57103,9324,6267,1897,6373,39,21,6,626,96
2015-16,2912,KARNATAKA,BELLARY,28543,27277,26708,26227,25480,24323,23124,22723,20767,26208,25788,25446,24756,22945,22582,22079,20894,17721,242231,115324,322,298,333,434,348,372,294,319,214,224,310,299,267,241,218,211,338,266,311,273,267,187,179,209,306,280,281,251,250,183,160,155,167,206,61515,29940,31423,14918,51836,25155,27089,13127,129443,68053,62408,33156,31376,15107,15700,7350,2,38,54,72,128,157,4,5,0,76,7,46,47,73,126,135,15,12,3,58,6,73,52,70,165,151,31,11,4,80,3,62,67,95,178,187,50,10,1,80,8,56,44,66,162,157,56,4,3,59,3,64,48,61,163,204,32,3,0,35,5,78,29,59,128,142,30,6,2,33,5,106,31,58,160,108,16,3,7,36,2437,7368,84,43,5,884,181,285,963,0,0,0,48,3,268,1123,0,0,0,54,0,324,1516,12,2,1,227,90,121,258,0,1,0,55,18,300,1204,7,0,0,90,22,874,3489,2,16,1,228,21,425,1257,17,19,2,236,104,85,480,19,11,6,131,101,383,1139,9,8,0,348,106,0,18,0,0,0,0,0,0,13,0,0,0,0,0,7,15,15,18,1,23,0,0,1042,3627,17,19,8,397,250,1146,4218,37,36,1,691,122,0,13,0,0,0,0,0,9,22,0,0,0,0,8,17,18,0,0,0,1,4,0,0,0,0,0,0,0,6,4,0,0,0,1,0,36500,37902,11195340,11858547,413,634,0,0,0,29,0,445408,1940,287062,1250,5,19,18,17,4,41383,237541,0,932,240,20295,1591,1482,33385,2366,268,0,18590,5603,2336,6738,0,0,0,0,0,290,1095,0,0,0,0,0,0,107,863,0,0,0,0,168,142,310,76,58,134,0,1,1,484,73,598,423,229,16,142304,44081,37105,131121,41007,34908,91718,25571,24358,83413,23238,22731,2990,9454,84,43,5,980,183
2015-16,2913,KARNATAKA,CHITRADURGA,14206,13557,13328,13376,13107,13011,13017,12916,13149,13243,13044,12798,12907,11906,12215,12379,12224,12050,117154,62553,226,257,291,363,355,306,337,195,166,155,194,259,247,238,224,130,156,155,149,129,127,116,107,234,262,151,130,118,121,100,118,83,234,235,34136,16762,20396,9946,26300,12751,14543,7069,66881,37941,32402,18428,11939,6166,5809,3033,8,44,35,71,81,76,14,7,0,56,8,66,27,81,85,63,17,5,1,59,5,80,38,95,99,73,24,5,0,66,11,101,39,96,141,111,15,6,4,98,8,130,54,79,125,101,28,2,5,70,9,116,50,73,118,80,24,7,1,66,6,106,81,89,91,100,33,5,1,49,0,104,26,30,90,45,9,6,0,15,1708,4818,40,54,0,243,66,370,962,0,8,6,3,12,318,1024,0,2,0,5,0,300,544,6,21,12,8,82,485,856,1,2,0,35,3,372,1164,20,8,16,35,24,957,2872,18,29,5,105,28,267,757,3,15,0,120,96,84,210,1,0,0,20,31,2,6,0,0,0,0,6,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,2710,17,29,15,127,124,1029,3156,26,25,6,194,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,28200,29800,15206187,15663002,788,796,1,8,0,3,3,458482,1988,252451,1096,5,19,18,16,0,27907,126799,315,898,0,3648,565,217,13536,710,243,229,6178,2934,975,3553,0,0,0,0,0,25,37,0,0,0,0,0,0,0,0,0,0,0,0,164,96,260,81,60,141,0,0,0,141,22,217,119,63,7,71526,23538,17902,66965,21864,16920,61783,19689,13804,56754,18437,12864,2396,6804,40,64,6,251,78
2015-16,2914,KARNATAKA,DAVANAGERE,17802,17071,16738,16786,16252,16553,16245,15905,15897,16533,15877,15706,16208,15049,15421,15470,15281,14873,149736,87231,210,224,238,288,277,278,278,159,149,150,181,210,182,203,220,158,26,12,15,17,11,25,12,51,126,30,13,12,22,13,28,9,43,74,38158,18505,21426,10466,21223,10300,12179,6009,92992,52863,45309,25779,27034,14576,13274,7285,2,33,48,45,77,77,8,1,1,67,2,29,42,46,97,99,7,1,0,51,5,35,56,52,103,99,9,1,0,59,10,49,74,59,105,105,21,3,0,72,10,53,63,48,123,94,10,1,0,57,10,84,56,55,112,93,16,2,1,52,13,81,67,50,106,114,12,1,0,54,7,78,70,29,81,26,8,0,1,17,1997,6200,0,127,3,424,57,307,887,0,7,0,12,0,404,1274,0,10,0,7,2,689,1893,0,23,0,116,29,94,153,0,1,3,16,4,470,1371,0,27,4,61,8,1228,4116,0,62,0,221,8,386,1142,0,38,15,392,96,78,279,0,1,0,102,48,5,22,0,3,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,3320,0,66,18,264,107,1257,3763,0,66,4,534,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27600,27600,13934153,14086300,654,823,0,12,0,8,4,430542,1895,259365,1140,5,19,18,0,0,29876,145925,0,885,0,4633,298,469,19711,0,1433,233,13317,2612,3800,11315,0,172,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,129,275,73,67,140,1,0,1,151,20,229,142,9,4,97284,30291,15828,80463,26809,14061,56109,15922,8785,45114,13645,7366,2708,8361,0,144,3,443,59
2015-16,2915,KARNATAKA,SHIMOGA,14214,13560,13593,13561,13612,13896,14012,14120,14289,13325,13004,12866,13035,12603,13086,13300,13305,13364,122062,68435,225,237,245,312,381,294,287,192,177,182,216,202,254,267,227,148,78,61,60,82,63,70,73,96,276,76,72,60,44,65,64,49,53,117,26951,13133,15605,7646,5998,2905,3706,1817,90566,55543,44162,26859,22572,12833,11154,6343,17,34,31,30,56,78,33,15,0,108,11,93,28,31,64,62,50,11,1,68,14,132,34,35,75,56,63,8,0,44,17,120,31,38,77,78,71,6,8,68,16,187,38,45,79,107,62,9,4,88,17,196,33,22,79,82,66,10,5,51,9,165,39,36,77,71,57,15,2,43,17,135,30,18,66,22,36,6,0,10,1797,6332,49,51,6,611,65,453,585,0,1,0,14,8,167,609,0,1,0,8,1,779,1633,0,6,0,182,52,7,30,0,0,0,28,0,1555,4921,23,30,16,234,6,134,391,6,0,0,23,0,222,567,25,17,0,446,122,104,273,30,6,8,114,31,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,2353,27,19,17,236,77,1096,3833,57,35,7,610,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,94,0,0,0,2,0,735945,828168,16039504,17198223,871,849,0,2,0,12,2,514404,2304,289740,1317,5,19,18,16,99,23073,110731,390,339,0,4763,551,1375,20509,2428,797,238,12865,1726,1717,11584,0,0,0,1029,0,63,145,0,0,0,90,0,0,0,0,0,0,0,0,115,169,284,74,88,162,3,0,3,149,30,177,113,49,5,62269,16860,3328,55994,15050,2994,52396,14065,3013,46238,12473,2756,2417,7526,49,53,6,633,74
2015-16,2916,KARNATAKA,UDUPI,7965,7924,7835,7800,7893,8236,8277,8604,8990,7444,7346,7221,7600,7378,7484,7572,7845,8318,69129,39438,240,136,145,164,154,170,172,145,151,92,122,112,112,125,126,114,174,147,145,128,153,118,121,27,87,161,118,107,151,124,144,96,21,53,5329,2615,3673,1733,4006,1975,2509,1170,62149,38279,30073,18297,8791,5176,4202,2494,1,26,32,23,31,143,12,28,4,91,1,32,13,23,26,96,8,4,3,22,0,52,19,16,27,109,18,2,6,18,2,70,19,20,38,79,20,4,5,19,1,93,20,26,22,62,20,2,5,15,0,122,29,16,17,59,20,9,5,18,0,126,27,18,29,60,12,2,1,23,0,126,17,9,27,38,15,3,2,22,512,3583,128,14,29,310,16,153,694,0,3,0,1,0,140,510,0,0,0,4,0,125,1037,91,5,35,75,2,32,75,3,1,0,0,0,111,783,3,0,4,31,6,297,1560,82,6,27,190,12,112,687,56,3,25,132,15,22,231,50,0,38,68,15,0,9,7,0,3,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,244,943,24,1,54,81,15,330,2403,177,9,43,343,33,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7115303,7147205,252,488,0,2,2,2,2,215732,942,155296,678,5,19,18,0,0,7182,59521,449,236,228,1686,53,254,27479,4946,95,735,7718,586,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,144,275,79,89,168,0,1,1,109,13,107,73,314,47,40139,4562,3441,26503,2897,2395,24616,2760,1966,15951,1732,1342,805,4787,128,17,29,315,16
2015-16,2917,KARNATAKA,CHIKKAMANGALORE,7919,7803,7715,7774,7731,7762,8142,7991,8450,7675,7276,7273,7382,7170,7365,7446,7709,7719,70889,39290,172,113,116,123,185,133,160,183,110,84,73,119,94,103,104,116,38,27,28,20,16,19,11,34,57,34,29,16,18,25,12,21,9,44,19845,9781,11690,5790,3797,1854,2290,1138,49422,30189,23906,14596,8242,4721,3970,2252,4,23,26,21,43,42,19,0,3,101,5,34,18,24,30,36,31,0,1,18,6,33,17,16,31,38,27,0,2,19,11,44,26,30,42,32,26,1,3,27,6,62,22,25,49,43,35,0,1,36,9,75,20,20,37,34,19,1,2,19,20,88,10,16,56,29,26,1,0,18,31,136,27,22,30,17,26,1,0,9,1529,4153,66,9,25,344,60,307,712,0,5,0,13,0,215,603,0,1,0,3,0,257,737,18,13,0,77,54,135,404,20,0,10,112,31,190,672,4,0,0,23,0,962,2449,11,7,4,122,10,258,620,21,4,4,163,78,59,193,46,0,18,44,50,17,31,7,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,89,39,15,2,0,0,875,1864,36,4,25,151,112,746,2505,73,7,11,321,60,0,0,0,0,0,0,0,5,11,6,0,0,6,0,41,67,4,0,0,40,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,10000,10004,11677053,12226117,674,626,0,1,0,3,2,384020,1682,203131,890,5,19,18,16,0,15981,63150,0,150,0,3367,721,62,11091,2502,206,392,7883,2129,536,1607,0,0,0,234,0,24,126,0,0,0,0,0,0,0,0,0,0,0,0,136,91,227,75,52,127,0,0,0,51,17,79,70,65,20,42251,15199,2676,38610,14418,2520,25557,8977,1747,22834,8382,1636,2051,5468,66,15,25,360,60
2015-16,2918,KARNATAKA,TUMKUR,12005,11888,11893,12170,12178,12474,12799,13269,14047,11400,11450,11532,11502,11232,10914,11231,11276,11697,107848,60592,121,172,153,179,217,180,173,125,82,116,100,129,167,121,131,106,65,50,44,54,49,51,35,226,257,46,50,42,37,43,42,43,107,125,19927,9803,12318,5768,6791,3351,4181,1874,83626,50460,40716,23487,17945,9341,8907,4655,6,10,23,22,31,43,4,0,0,64,3,23,30,41,52,57,13,1,0,68,7,27,24,33,47,51,11,1,0,52,10,32,34,48,54,55,14,1,1,59,5,54,31,49,79,65,26,0,0,75,12,53,35,30,47,48,23,0,0,53,11,52,34,27,62,58,11,1,0,48,1,43,44,10,52,37,16,1,0,27,2099,4418,0,63,9,563,40,652,877,0,7,0,11,3,571,911,0,3,0,4,0,790,1441,0,10,0,147,17,67,106,0,1,0,56,0,961,1373,0,13,1,67,1,1429,2514,0,17,16,349,17,251,498,0,8,0,172,38,96,189,0,5,0,44,39,4,37,0,0,0,14,3,0,0,0,0,0,0,0,7,14,0,3,0,2,0,1,9,75,23,6,0,0,0,1277,1504,0,22,11,232,69,1538,3227,0,25,6,472,29,0,0,0,0,0,0,0,3,21,0,0,0,2,7,9,59,0,0,0,8,5,0,0,0,0,0,0,0,88,32,0,0,0,1,0,167500,196508,17569234,18143803,1383,762,0,7,0,4,5,547259,2365,224919,972,5,19,18,0,0,29253,81002,0,581,0,4474,194,572,28471,0,326,220,15845,1572,1772,5160,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,151,294,89,84,173,10,11,21,97,12,146,99,779,65,63482,14930,4462,57814,13914,4177,37726,8961,2807,32603,7894,2391,3322,6203,0,73,9,578,43
2015-16,2919,KARNATAKA,KOLAR,13043,12434,12413,12177,12265,11981,11680,11750,11901,12285,11791,11620,11707,11388,11511,11066,11009,11086,114978,61759,82,98,143,132,186,113,121,85,72,73,82,102,131,80,96,64,53,43,35,43,49,60,67,75,138,45,48,34,43,36,75,58,81,84,37943,18681,21516,10542,7433,3660,4126,1980,71660,40905,34522,19920,19509,10270,9527,5128,9,3,14,19,43,26,8,2,1,29,5,7,17,26,49,30,11,2,0,24,8,17,21,24,60,44,12,2,2,35,8,16,18,33,55,43,22,3,1,35,19,19,17,34,73,64,20,2,2,67,9,11,18,27,49,36,16,0,1,26,18,19,12,26,52,40,18,4,0,28,4,24,15,12,49,21,10,0,1,13,1997,4313,92,28,0,1115,80,506,719,0,9,0,22,3,545,712,0,13,0,10,0,404,384,44,7,0,154,43,218,317,0,2,0,24,15,418,830,0,10,0,37,7,1536,2585,22,16,0,316,4,313,485,34,5,0,836,47,115,233,29,2,0,145,44,7,8,1,0,0,11,2,1,0,0,0,0,1,0,0,5,0,0,0,0,0,7,1,14,3,0,0,0,0,1252,1415,46,9,0,399,77,1356,3048,40,26,0,971,42,0,0,0,0,0,0,0,1,3,0,0,0,4,6,0,7,0,0,0,3,1,0,0,0,0,0,0,0,7,6,0,0,0,0,1,74657,103445,14641568,14992581,1183,603,0,5,0,9,1,505528,2181,215239,928,5,19,18,16,4,29300,70650,987,572,0,12366,425,590,24770,2359,114,0,20382,2142,2826,8229,0,247,0,1351,0,0,209,0,0,0,0,0,101,0,0,0,0,0,0,120,113,233,56,77,133,2,2,4,122,23,149,79,1456,148,57896,24887,5156,54707,23725,4998,32580,12863,2698,31578,13275,2624,3048,5744,92,50,0,1147,83
2015-16,2920,KARNATAKA,BANGALORE U SOUTH,58186,53958,51432,47748,45980,43120,41582,39936,36858,54123,50338,47274,45468,43818,41003,39615,38509,35525,460199,212272,269,210,267,319,288,233,174,172,178,143,181,222,222,181,156,102,281,252,255,258,232,198,179,149,234,229,217,225,220,170,178,169,123,132,71541,35087,37565,18418,11170,5383,5030,2403,276924,134676,134769,66476,68669,33186,33830,17079,18,13,42,32,43,66,52,46,7,128,12,45,61,30,59,68,69,3,5,1,6,60,43,86,85,72,86,0,9,1,9,101,60,92,89,91,93,2,3,1,8,104,46,77,95,93,78,1,5,3,13,84,39,44,93,76,59,2,3,1,15,74,53,30,59,45,51,3,0,0,18,58,36,20,61,51,29,0,1,0,2709,9504,8886,12,26,8025,214,142,328,56,0,0,44,0,84,245,5,0,0,10,0,508,1770,1372,4,13,1383,69,274,857,1125,0,25,550,21,311,1493,343,6,0,384,18,1028,3855,5130,4,17,5238,122,349,1224,1101,1,1,1363,28,111,429,878,1,12,633,23,26,135,279,1,2,159,2,0,1,3,0,0,3,0,0,0,0,0,0,0,1,14,22,259,25,25,13,0,0,333,1231,1369,4,32,1263,63,1766,6763,7490,9,25,7067,152,0,0,0,0,0,0,0,1,7,23,0,0,43,1,10,36,92,0,0,141,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,8080304,8162887,414,463,1,2,0,8,0,647450,2831,497459,2173,19,5,18,16,17,11297,81905,232607,129,605,167714,1210,25557,123814,23283,102,0,33951,829,1750,12372,444,0,0,394,249,163,937,118,0,0,0,0,0,326,0,0,0,0,0,97,539,636,73,397,470,5,47,52,611,113,668,429,219,40,66919,25592,3407,50026,19218,2789,57035,20278,2764,39409,14532,2137,2935,10077,8947,12,26,8078,214
2015-16,2921,KARNATAKA,BANGALORE RURAL,8496,8364,8274,7869,7988,7620,7389,7420,7526,8058,7843,7727,7512,7161,7072,7023,6983,7130,74697,38694,66,112,125,123,189,88,141,107,60,64,61,89,108,76,118,86,7,16,13,10,9,8,10,16,58,11,15,14,12,17,11,8,16,23,18740,9236,10407,5048,4688,2245,2588,1209,52823,29108,25413,14154,9374,5856,4566,2501,3,15,9,21,15,22,1,4,2,34,2,17,20,21,19,62,5,3,0,27,6,13,15,20,30,55,8,3,0,36,2,22,14,25,27,63,13,1,1,44,8,46,24,19,28,75,17,3,2,75,2,24,15,13,29,45,12,0,0,24,8,44,18,19,32,70,11,5,0,52,4,61,19,10,26,34,23,0,0,16,1342,2646,79,15,8,1118,33,247,451,0,4,0,11,0,188,306,0,0,0,9,0,318,413,16,7,0,179,21,186,465,31,0,0,426,4,345,586,6,2,0,105,0,764,1253,15,4,0,357,6,166,235,12,0,5,215,6,63,137,37,2,21,194,9,13,41,5,0,1,80,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,42,13,50,28,10,13,0,0,681,1004,29,3,17,441,27,857,1713,77,5,10,936,13,1,1,0,0,0,0,0,9,9,2,0,0,21,2,15,25,10,0,0,57,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2500,2500,8533794,8740937,627,415,0,3,0,6,0,305617,1331,141913,618,5,19,18,99,17,15244,43615,249,57,233,9086,0,1102,11205,2063,48,0,28981,643,664,2345,0,87,0,89,0,0,865,0,0,0,0,0,34,137,0,0,0,0,0,49,60,109,53,36,89,14,8,22,61,5,108,72,311,46,33668,12392,2712,32405,12163,2595,23439,8473,1994,22663,8224,1932,1775,3403,79,16,6,1138,33
