Year,DISTCD,STATNAME,DISTNAME,C1_B,C2_B,C3_B,C4_B,C5_B,C6_B,C7_B,C8_B,C9_B,C1_G,C2_G,C3_G,C4_G,C5_G,C6_G,C7_G,C8_G,C9_G,C15A,C68A,C1_BD,C2_BD,C3_BD,C4_BD,C5_BD,C6_BD,C7_BD,C8_BD,C1_GD,C2_GD,C3_GD,C4_GD,C5_GD,C6_GD,C7_GD,C8_GD,C1_BR,C2_BR,C3_BR,C4_BR,C5_BR,C6_BR,C7_BR,C8_BR,C9_BR,C1_GR,C2_GR,C3_GR,C4_GR,C5_GR,C6_GR,C7_GR,C8_GR,C9_GR,SCPTOT,SCPTOT_G,SCUTOT,SCUTOT_G,STPTOT,STPTOT_G,STUTOT,STUTOT_G,OBPTOT,OBUTOT,OBPTOT_G,OBUTOT_G,MUPTOT,MUUTOT,MUPTOT_G,MUUTOT_G,BLC1,LVC1,HEC1,SPC1,LOC1,MEC1,LEC1,CPC1,AUC1,MUC1,BLC2,LVC2,HEC2,SPC2,LOC2,MEC2,LEC2,CPC2,AUC2,MUC2,BLC3,LVC3,HEC3,SPC3,LOC3,MEC3,LEC3,CPC3,AUC3,MUC3,BLC4,LVC4,HEC4,SPC4,LOC4,MEC4,LEC4,CPC4,AUC4,MUC4,BLC5,LVC5,HEC5,SPC5,LOC5,MEC5,LEC5,CPC5,AUC5,MUC5,BLC6,LVC6,HEC6,SPC6,LOC6,MEC6,LEC6,CPC6,AUC6,MUC6,BLC7,LVC7,HEC7,SPC7,LOC7,MEC7,LEC7,CPC7,AUC7,MUC7,BLC8,LVC8,HEC8,SPC8,LOC8,MEC8,LEC8,CPC8,AUC8,MUC8,TOTCLGD1G,TOTCLGD2G,TOTCLGD3G,TOTCLGD4G,TOTCLGD5G,TOTCLGD6G,TOTCLGD7G,TOTCLMI1G,TOTCLMI2G,TOTCLMI3G,TOTCLMI4G,TOTCLMI5G,TOTCLMI6G,TOTCLMI7G,TOTCLMJ1G,TOTCLMJ2G,TOTCLMJ3G,TOTCLMJ4G,TOTCLMJ5G,TOTCLMJ6G,TOTCLMJ7G,TOTCLOT1G,TOTCLOT2G,TOTCLOT3G,TOTCLOT4G,TOTCLOT5G,TOTCLOT6G,TOTCLOT7G,TCHBS1,TCHBS2,TCHBS3,TCHBS4,TCHBS5,TCHBS6,TCHBS7,TCHSEC1,TCHSEC2,TCHSEC3,TCHSEC4,TCHSEC5,TCHSEC6,TCHSEC7,TCHHS1,TCHHS2,TCHHS3,TCHHS4,TCHHS5,TCHHS6,TCHHS7,TCHGD1,TCHGD2,TCHGD3,TCHGD4,TCHGD5,TCHGD6,TCHGD7,TCHPG1,TCHPG2,TCHPG3,TCHPG4,TCHPG5,TCHPG6,TCHPG7,TCHMD1,TCHMD2,TCHMD3,TCHMD4,TCHMD5,TCHMD6,TCHMD7,TCHPD1,TCHPD2,TCHPD3,TCHPD4,TCHPD5,TCHPD6,TCHPD7,TCHNR1,TCHNR2,TCHNR3,TCHNR4,TCHNR5,TCHNR6,TCHNR7,TCHCON1,TCHCON2,TCHCON3,TCHCON4,TCHCON5,TCHCON67,TCHCON8,TCHCON9,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHN1,TCHN2,TCHN3,TCHN4,TCHN5,TCHN6,TCHN7,TCHCM1,TCHCM2,TCHCM3,TCHCM4,TCHCM5,TCHCM6,TCHCM7,TCHCF1,TCHCF2,TCHCF3,TCHCF4,TCHCF5,TCHCF6,TCHCF7,TCHCN1,TCHCN2,TCHCN3,TCHCN4,TCHCN5,TCHCN6,TCHCN7,TLM_R1,TLM_R2,TLM_R3,TLM_R4,TLM_R5,TLM_R6,TLM_R7,TLME,TLMR,CONTIE,CONTIR,CONTI_R1,CONTI_R2,CONTI_R3,CONTI_R4,CONTI_R5,CONTI_R6,CONTI_R7,PIDAY30,PIDAYSCH,UIDAY35,UIDAYSCH,M1,M2,M3,M4,M5,ENRE11,ENRE12,ENRE13,ENRE14,ENRE15,ENRE16,ENRE17,ENRE21,ENRE22,ENRE23,ENRE24,ENRE25,ENRE26,ENRE27,ENRE31,ENRE32,ENRE33,ENRE34,ENRE35,ENRE36,ENRE37,ENRE41,ENRE42,ENRE43,ENRE44,ENRE45,ENRE46,ENRE47,ENRE51,ENRE52,ENRE53,ENRE54,ENRE55,ENRE56,ENRE57,TCH_5556M,TCH_5556F,TCH_5556T,TCH_5758M,TCH_5758F,TCH_5758T,TCH_5960M,TCH_5960F,TCH_5960T,PPTR30,UPTR35,PSCR30,USCR35,NOTCH_ASS,TCHINV,PTXT_ALL,PTXT_SC,PTXT_ST,PUNI_ALL,PUNI_SC,PUNI_ST,UTXT_ALL,UTXT_SC,UTXT_ST,UUNI_ALL,UUNI_SC,UUNI_ST,TOTCLS1G,TOTCLS2G,TOTCLS3G,TOTCLS4G,TOTCLS5G,TOTCLS6G,TOTCLS7G
2015-16,2922,KARNATAKA,MANDYA,12362,11792,11668,11268,11306,11860,12370,12296,12695,11429,11418,10860,10795,10243,10954,11300,11110,11368,101006,56219,218,171,198,219,291,260,326,209,136,113,132,135,156,189,189,164,271,227,209,248,252,246,195,100,134,219,231,225,190,209,173,187,37,47,16973,8345,10751,5233,2980,1394,1551,745,90989,55656,43989,26662,6620,3678,3281,1766,2,11,35,27,63,89,4,50,2,71,2,23,29,28,48,74,17,17,1,45,1,43,31,33,72,75,29,16,3,27,3,47,31,45,68,79,34,10,0,37,5,63,46,37,104,79,50,19,5,39,1,70,54,43,72,85,77,10,2,35,2,130,46,41,81,85,84,10,1,35,5,114,37,21,94,48,26,4,2,22,1619,5333,50,68,6,468,112,489,1108,0,18,0,1,5,415,930,0,9,0,10,0,183,776,8,18,0,144,48,132,356,0,0,6,78,21,621,1574,12,20,2,95,8,724,2041,12,11,7,171,20,252,755,16,7,2,193,94,79,221,24,10,2,71,88,3,82,0,0,1,1,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,13,61,32,4,0,0,0,943,1945,22,15,7,178,136,868,3085,42,33,13,432,102,0,0,0,0,0,0,0,4,21,0,0,0,0,4,14,52,0,12,0,2,6,0,0,0,0,0,0,0,50,23,0,1,0,1,1,284455,303503,14334327,15582396,912,835,0,8,0,3,8,465341,2039,260492,1139,5,19,18,4,16,20895,103855,330,941,0,7894,703,684,15025,352,580,228,7120,3904,680,1875,0,0,0,0,46,0,0,0,0,0,166,0,75,0,0,0,0,0,0,168,114,282,102,62,164,0,3,3,116,26,121,100,31,13,39919,8195,797,34632,7361,748,55260,10943,1135,49777,10116,1028,2523,7371,50,95,6,479,117
2015-16,2923,KARNATAKA,HASSAN,11929,11648,11588,11701,11634,11607,11925,11943,12658,11559,11289,11357,11367,10720,11164,11610,11482,12009,100536,55333,88,131,180,254,310,228,285,203,79,101,115,172,189,169,173,109,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,4,26427,13243,15623,7798,2887,1474,1563,807,82339,49737,40058,24307,10626,6079,5173,2998,16,16,8,18,30,25,9,5,0,40,6,36,13,31,41,34,13,4,2,52,4,46,29,38,39,49,30,4,1,55,15,68,25,49,69,92,28,7,3,70,16,91,38,74,69,85,32,7,10,77,14,106,30,58,62,39,27,6,10,45,18,118,36,54,56,66,38,6,7,59,11,82,33,30,55,45,24,7,4,21,2051,5012,0,78,2,487,98,714,1245,0,21,0,0,3,564,1153,0,5,0,0,0,364,653,0,9,12,72,75,293,697,0,7,19,169,79,531,1014,0,11,0,36,1,1564,2732,0,42,0,102,17,311,726,0,16,0,240,53,105,193,0,6,2,133,44,22,82,0,0,1,29,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,40,13,93,31,7,3,0,0,1481,2238,0,27,14,219,126,1345,3207,0,55,8,490,72,4,3,0,0,0,0,0,6,29,0,0,0,4,5,15,116,0,0,0,11,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,27000,27000,15169047,16025605,1091,791,0,5,0,0,1,610021,2651,295109,1282,5,19,18,16,0,28407,88960,0,719,0,4363,239,797,18591,0,1081,147,14673,3878,932,2077,0,0,0,136,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,188,126,314,111,73,184,1,3,4,89,24,121,99,35,7,29451,10410,952,28112,10102,931,21852,7135,962,20748,6880,938,3329,7410,0,104,2,487,101
2015-16,2924,KARNATAKA,DAKSHINA KANNADA,16050,16093,16031,15916,16481,16761,17087,18152,19198,15142,14917,15063,15128,15411,15479,15379,16299,17220,142083,81598,239,229,292,271,354,327,378,316,159,144,185,186,213,215,221,220,0,0,0,0,0,0,0,1,646,0,0,0,0,0,0,0,1,306,11745,5676,7867,3848,6197,3029,4048,1972,130785,81810,63416,38830,51989,30729,25121,14815,8,53,19,26,37,136,13,16,33,57,4,56,20,25,47,124,26,11,23,37,3,138,18,14,58,126,28,6,21,65,9,117,24,25,41,121,43,7,16,54,9,161,37,21,56,117,59,8,23,76,13,166,26,34,56,108,64,8,9,58,7,239,26,28,62,106,59,12,8,52,13,219,31,11,53,90,59,12,4,44,868,6780,62,68,5,338,32,165,1038,0,10,0,21,0,158,1109,0,0,0,28,0,223,1495,28,24,0,77,55,5,31,0,0,0,14,0,128,1324,1,7,0,13,0,357,2897,12,14,0,124,8,168,1914,32,30,12,172,40,29,388,12,11,11,104,17,0,34,3,4,0,10,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1150,21,19,18,63,22,550,5441,39,47,5,375,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,11515500,11525503,280,810,0,6,0,12,6,329458,1440,261699,1144,5,19,0,0,0,12118,144190,63,749,0,3371,144,379,56979,1955,1168,195,6742,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,297,381,65,204,269,1,7,8,222,21,229,177,176,38,75621,9740,4674,51527,7323,3355,50709,6366,3215,35026,4861,2468,1191,8925,62,78,5,387,32
2015-16,2925,KARNATAKA,KODAGU,4214,4027,3980,3937,4101,4271,4268,4437,4615,3918,3877,3921,3930,3900,3995,4068,4201,4212,36801,21298,45,53,56,74,82,62,92,65,34,41,37,66,46,56,51,64,31,34,28,22,23,34,25,27,146,27,26,24,26,23,20,24,16,63,5624,2803,3765,1879,6463,3266,3093,1538,26137,17195,12759,8365,8056,4891,3936,2338,0,4,5,4,16,17,10,1,1,21,0,8,4,16,14,19,18,1,0,14,0,11,4,5,20,24,12,0,0,17,0,17,7,10,21,25,25,0,0,35,1,16,11,3,18,29,28,0,0,22,0,11,12,8,23,27,24,1,0,12,2,21,16,9,30,23,31,1,0,10,1,36,13,5,23,22,20,1,2,6,451,1863,16,2,22,217,14,47,214,0,0,0,0,0,45,341,0,0,0,5,0,175,885,7,0,14,37,14,25,213,0,0,11,35,10,60,383,0,0,1,27,0,174,963,6,0,2,95,6,85,277,17,0,34,124,1,22,88,4,0,8,27,5,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,5,33,16,5,1,0,0,86,340,0,0,33,66,16,280,1590,27,0,23,245,6,0,0,0,0,0,0,0,0,6,0,2,0,0,16,14,22,0,3,0,2,8,0,0,0,0,0,0,0,1,5,0,0,0,0,2,17000,19001,4086443,4225357,137,273,0,0,0,1,3,121900,536,85893,377,5,19,16,18,8,4216,31629,209,0,0,2212,275,567,13344,501,212,627,4842,443,8,121,0,0,0,0,0,11,76,0,0,0,0,0,7,18,0,0,0,0,0,20,86,106,16,45,61,0,7,7,53,9,59,43,20,4,16625,3840,5480,15719,3534,5548,13797,2924,2867,12562,2680,2922,543,2418,16,2,22,222,14
2015-16,2926,KARNATAKA,MYSORE,23718,23355,22874,22370,22656,22919,22856,22441,22832,22355,23062,21705,21571,20996,21766,21789,21318,21979,204915,111527,220,247,265,343,412,421,360,260,163,190,220,238,256,294,304,199,368,327,310,296,285,292,253,203,317,314,344,273,304,282,250,249,140,216,40249,19789,24831,12255,28267,13931,16527,8246,141450,82428,69200,40168,29773,15641,14686,8001,22,21,54,68,59,62,20,4,6,67,14,38,68,70,68,74,29,2,4,70,23,44,65,74,74,96,34,5,2,68,22,68,65,72,130,90,57,4,5,68,18,74,64,82,117,122,85,7,4,95,24,108,65,80,124,115,109,7,1,82,23,88,64,58,128,111,133,4,4,51,23,86,58,54,93,54,48,6,3,34,2249,7867,289,95,39,1429,105,426,1274,0,13,0,28,9,315,1100,0,1,0,36,0,445,1330,108,23,6,284,45,914,2209,129,38,26,560,47,423,1179,59,13,5,181,4,716,2304,126,9,20,504,25,526,1703,61,16,2,627,65,141,555,87,5,12,259,42,18,60,9,0,2,40,1,0,4,3,0,0,0,0,2,65,16,0,0,24,4,113,40,110,80,53,4,0,17,1159,2642,152,22,46,479,112,1579,5387,335,59,21,1692,72,2,50,3,0,0,24,4,13,83,4,2,3,4,54,24,141,11,19,0,19,26,0,13,0,0,0,1,0,1,3,0,0,0,0,1,13002,13003,16030154,17388499,923,936,0,4,0,19,2,591841,2571,352843,1534,5,19,18,1,4,35583,168804,1742,747,347,16825,1086,1645,46628,7339,1854,498,32952,3082,1526,8777,0,0,0,1026,0,0,173,0,0,0,0,0,0,106,0,0,0,0,0,185,265,450,123,210,333,2,10,12,227,39,344,234,599,17,112130,28456,19590,96027,25458,17657,74236,18409,12780,64840,16551,11503,2990,10241,289,109,39,1493,112
2015-16,2927,KARNATAKA,CHAMARAJANAGARA,7098,7207,7136,7091,7145,7045,6876,6733,6564,6829,6725,6758,6818,6631,6579,6608,6407,6274,63023,34067,87,98,109,107,108,113,122,93,66,75,64,91,89,75,88,49,10,7,5,1,8,5,2,4,11,1,2,3,2,4,3,0,4,6,17537,8486,10975,5366,8928,4365,4912,2367,42005,23511,20436,11465,4852,2627,2413,1366,0,14,15,25,44,30,1,2,0,22,0,19,9,15,51,39,7,1,1,31,1,20,7,22,52,30,7,1,2,31,1,18,21,17,39,56,7,1,1,37,1,28,10,25,49,46,10,1,0,27,2,28,13,26,55,36,5,2,1,20,3,35,22,22,64,32,8,0,1,23,4,31,9,12,42,22,7,0,0,15,830,2868,0,58,0,37,57,168,483,0,2,0,0,1,126,400,0,7,0,0,0,177,486,0,7,0,0,48,125,398,0,9,0,4,8,158,486,0,3,0,0,0,367,1160,0,7,0,9,0,201,612,0,24,0,34,49,52,280,0,6,0,15,40,5,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,20,9,36,23,26,2,0,0,487,1253,0,16,0,24,58,421,1702,0,33,0,38,40,1,0,0,0,0,0,5,20,9,0,2,0,0,31,10,23,0,8,0,0,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4000,4000,5968715,6291583,298,357,0,2,0,1,3,217107,936,128459,554,5,19,18,16,0,13348,71771,0,451,0,0,398,72,7391,0,704,0,1421,2050,353,1436,0,0,0,0,0,264,1322,0,53,0,0,0,0,0,0,0,0,0,0,66,52,118,47,32,79,2,2,4,114,19,106,68,4,3,46483,12987,6370,39059,11114,5082,29041,8393,4206,24754,7034,3744,1124,3751,0,67,0,37,58
2015-16,2928,KARNATAKA,BANGALORE U NORTH,34967,33529,32455,30808,30872,28676,28073,27781,26155,32586,31194,29934,28874,28591,26773,26372,26226,25355,296342,146786,356,197,206,184,201,173,206,165,176,149,123,104,152,95,121,134,107,125,136,122,117,95,115,196,384,81,101,117,95,108,81,82,191,316,48483,23590,26361,12712,7295,3392,3419,1648,167450,85661,80233,41809,51951,27180,25480,13916,11,22,65,28,45,193,19,32,16,101,16,26,37,27,45,83,31,27,9,45,21,28,41,23,48,80,33,10,8,37,13,26,42,25,42,69,44,11,1,15,13,49,48,48,59,77,37,2,2,18,7,46,52,25,32,46,40,3,1,16,6,65,37,24,47,52,44,5,3,44,27,91,44,17,41,27,34,3,3,12,1871,6642,978,28,12,9798,38,102,221,0,0,0,21,0,37,119,0,0,0,4,0,207,688,243,7,12,1261,10,309,1148,171,1,0,2354,21,251,1496,71,13,0,706,0,396,1488,118,8,0,1753,6,492,1233,425,2,2,3691,1,75,352,222,0,20,1344,3,10,65,56,0,0,296,2,0,12,1,0,0,6,0,0,1,0,0,0,2,0,23,10,30,120,53,4,2,0,235,861,180,5,16,1658,9,1298,4934,884,19,6,8494,24,0,0,0,0,0,0,0,0,6,4,0,0,32,0,8,47,14,0,0,131,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,34100,34100,2880163,2995962,118,159,0,2,0,2,0,426631,1856,330582,1438,19,5,18,16,17,7946,68346,27642,75,256,208672,173,16141,73300,1683,235,10,36375,255,2051,9533,294,0,0,1486,0,284,3694,0,0,0,0,0,200,835,0,0,0,0,0,99,415,514,71,285,356,19,86,105,365,57,444,279,696,69,31303,10980,1403,19542,6641,1094,27362,9574,1008,16003,5750,674,2010,6980,978,28,12,9823,38
2015-16,2929,KARNATAKA,CHIKKABALLAPURA,10016,10082,9802,9537,9945,9826,9277,9305,9276,9651,9480,9240,9177,9108,8908,8838,8689,8656,89038,46603,123,150,120,173,190,144,163,167,98,121,125,120,110,133,122,132,36,37,27,29,27,26,21,44,42,21,32,24,23,16,18,14,17,23,26072,12868,14693,7136,13410,6650,7397,3580,52386,30123,25147,14465,12599,6727,6043,3281,5,15,10,41,47,60,10,1,0,32,2,25,14,40,65,71,12,0,1,41,6,22,13,34,61,62,13,0,4,30,2,28,20,42,68,73,23,2,2,33,3,34,15,55,61,55,23,3,4,47,9,30,20,28,64,55,32,1,0,38,11,30,16,27,77,60,17,3,0,44,9,39,28,57,60,36,40,4,1,25,1669,4039,0,41,2,493,92,423,623,0,2,0,14,7,358,571,0,2,0,1,0,254,383,0,9,10,94,40,216,616,0,4,0,186,51,300,548,0,3,0,24,0,835,1353,0,10,0,81,8,515,1050,0,12,1,178,44,92,261,0,6,19,97,41,20,54,0,2,1,15,12,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,1707,0,12,12,203,102,852,2178,0,25,9,381,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,51500,51500,11631808,12154500,891,508,0,2,0,3,5,411295,1775,184013,793,5,19,18,0,0,23483,76447,0,825,0,8516,790,48,14810,0,337,233,8262,2049,1207,4291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,60,150,50,38,88,0,0,0,92,19,104,68,61,17,51198,20073,9803,46380,18588,9005,30683,11365,5190,26935,10243,4697,2450,5233,0,45,2,507,99
2015-16,2930,KARNATAKA,BELGAUM CHIKKODI,28216,27869,27375,26672,26249,24581,24513,25420,24315,25972,26008,25662,25479,23469,22659,22371,22814,21253,253094,119824,261,403,409,420,370,347,304,340,158,280,308,300,273,204,179,186,296,289,287,237,200,266,263,550,694,236,235,241,223,203,213,212,503,657,39152,19350,21058,10092,15629,7689,8005,3871,178443,91452,86355,43932,26575,14040,13170,6930,3,48,35,43,104,88,22,2,1,73,11,106,58,101,145,117,39,6,4,96,9,95,60,106,174,162,24,5,12,70,11,108,58,92,196,132,29,9,4,81,10,121,60,71,152,124,37,3,2,63,6,81,43,67,149,101,30,4,7,63,9,82,53,52,129,80,21,1,9,47,7,98,48,66,128,75,44,4,7,49,2476,8657,16,109,22,581,242,282,1253,0,2,0,44,0,150,923,0,0,0,24,0,380,1730,21,29,2,147,71,272,1132,9,6,0,95,31,478,1983,0,18,18,198,104,916,3536,23,49,28,220,112,414,1508,0,12,4,248,143,72,295,0,8,1,60,50,20,175,0,1,1,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,13,0,1,0,0,1194,4652,10,41,30,424,301,978,3978,22,53,22,406,146,0,0,0,0,0,0,0,6,0,0,0,0,1,4,15,1,0,0,0,7,0,0,0,0,0,0,0,0,27,53,0,0,0,1,11,197314,258578,17422998,18728049,772,1114,0,5,1,25,14,572053,2448,362786,1553,5,10,19,18,1,41787,246458,0,866,637,11589,4066,2674,24510,0,612,0,1292,545,782,6347,626,808,230,10602,3475,2682,12260,0,0,0,948,0,0,570,0,0,0,0,0,152,77,229,53,39,92,0,0,0,542,51,627,390,6,2,154799,28138,11140,129546,24476,10655,100687,19792,7082,82755,16208,6396,2908,10833,16,111,22,649,242
2015-16,2931,KARNATAKA,TUMKUR MADHUGIRI,7569,7322,7083,7055,7069,7084,6812,6849,7565,7186,7019,6723,6889,6257,6781,6421,6592,7018,64812,33836,120,100,102,136,134,134,158,60,66,88,79,107,112,98,87,48,42,57,48,49,46,56,59,20,71,30,45,45,42,39,48,46,15,36,17846,8758,10634,5164,9447,4689,5300,2599,41550,23562,20032,11542,5908,3142,2870,1645,1,15,9,27,39,32,7,4,1,51,3,13,8,33,51,30,13,0,0,37,1,14,11,31,48,37,11,0,0,28,2,17,20,49,67,39,13,0,0,36,4,20,18,49,68,38,14,0,2,33,4,20,12,34,68,47,21,0,2,24,3,22,14,40,52,43,41,1,2,27,0,8,18,20,29,8,19,0,0,6,1259,2562,0,14,1,218,76,187,349,0,1,0,7,0,404,762,0,3,0,6,0,893,1118,0,12,0,85,36,25,49,0,0,0,8,2,260,412,0,0,0,7,0,947,1750,0,10,0,101,9,262,489,0,1,0,176,50,71,116,0,1,0,31,49,2,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,883,1358,0,2,0,140,75,684,1461,0,10,0,185,37,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,29,15,0,0,0,1,0,58500,60500,11946234,12217496,745,528,0,3,0,3,3,331175,1422,147892,635,5,19,18,0,0,19780,61480,0,232,0,4531,0,368,4653,0,80,79,4365,2426,464,1585,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,32,124,38,17,55,0,0,0,89,20,83,52,2889,290,44539,13696,6135,40692,12643,5626,30883,9890,5004,28459,9009,4734,1850,3673,0,18,1,231,76
2015-16,2932,KARNATAKA,RAMANAGARA,7772,7666,7473,7296,7421,7393,7417,7773,7403,7582,7359,7131,7210,6681,6976,6724,7200,6947,67064,36554,102,97,163,181,198,209,197,125,69,76,121,138,141,151,143,128,43,38,27,25,32,14,14,8,1,45,38,33,39,21,13,17,5,0,14525,7150,8495,4096,2598,1275,1275,603,54132,31611,26425,15207,10398,5445,5074,2692,0,25,9,17,37,28,13,5,2,35,1,54,10,14,27,23,7,7,1,29,0,108,24,26,33,43,21,4,0,25,0,94,19,25,59,39,53,4,2,24,0,95,27,24,49,47,48,1,4,44,0,137,18,19,54,40,55,3,2,32,1,102,14,19,56,39,62,4,4,39,1,104,12,12,55,26,21,2,0,20,1351,3189,18,27,0,294,55,311,466,0,0,0,2,3,398,553,0,17,0,5,3,167,268,0,15,0,41,33,43,45,0,1,0,8,0,302,529,0,10,0,27,9,990,1560,11,15,0,147,35,241,609,4,6,0,152,62,81,178,0,1,0,43,46,2,4,0,0,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,2,7,17,206,44,9,0,0,0,788,1042,6,8,0,116,103,872,1883,9,25,0,264,53,3,0,0,0,0,0,1,14,27,0,0,0,1,9,46,171,2,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9366994,9962002,821,428,0,4,0,3,4,341523,1478,146648,634,5,19,18,0,0,18258,52807,0,386,0,1632,495,474,16524,278,158,0,6250,2247,1298,4652,0,173,0,309,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,50,120,43,35,78,4,0,4,75,15,84,59,25,4,38574,10280,1813,37255,10115,1743,24814,6270,1081,23448,6104,1069,2056,4207,18,44,0,301,61
2015-16,2933,KARNATAKA,YADAGIRI,17122,17053,16216,15918,14480,13279,12442,10185,8722,15312,15733,14975,14584,12838,11616,10977,8224,6541,152616,64982,176,144,172,185,215,148,107,47,112,120,127,146,175,97,77,56,73,94,89,51,41,121,128,27,15,64,74,80,27,16,71,63,20,24,37414,17890,16034,6900,18565,8831,7802,3528,94180,40645,44935,19344,17051,8163,8103,4045,0,39,15,44,56,50,7,3,1,73,2,24,24,55,67,55,5,3,3,26,7,41,20,53,88,55,9,0,1,25,3,46,24,82,92,64,5,1,1,13,4,56,26,73,110,88,5,5,0,23,5,38,13,31,85,51,6,2,3,11,2,36,20,25,54,30,5,1,2,9,3,18,15,12,37,10,3,0,0,5,1850,3626,12,28,7,108,54,141,431,0,0,0,4,4,206,587,0,0,0,8,0,146,282,4,1,0,7,4,206,187,0,0,0,0,0,102,355,0,0,0,0,0,1108,2357,13,9,0,63,53,223,509,0,20,17,68,60,20,43,0,0,0,17,24,16,20,0,0,0,1,3,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,6,5,0,1,0,0,896,1925,2,7,12,93,102,781,1546,11,22,5,62,39,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,201620,291696,4902848,5684174,324,308,0,0,0,3,1,287854,1232,143345,613,5,18,19,17,4,43470,143046,0,509,224,5165,1879,2693,8902,0,0,0,147,0,0,2072,854,187,0,342,1083,0,87,0,0,0,0,0,0,9,0,0,0,0,0,54,24,78,46,12,58,1,1,2,517,59,486,255,58,4,88464,25571,12477,82027,23835,12011,63234,16660,8836,66371,16128,8539,2197,4644,12,28,7,120,58
2015-16,2934,KARNATAKA,UTTARA KANNADA SIRSI,5574,5740,5778,6127,6067,6101,5854,6134,5914,5394,5508,5305,5854,5497,5707,5329,5504,5383,53556,29084,75,154,194,245,300,270,260,183,86,117,160,190,187,184,155,125,51,67,64,54,65,107,104,46,65,53,67,56,54,60,114,122,35,41,6298,3028,3839,1751,2538,1276,1559,724,41925,24000,20259,11681,8695,4803,4226,2313,3,18,12,20,27,18,22,4,2,35,5,35,42,31,36,33,61,2,0,26,10,57,46,40,49,43,69,3,6,31,11,79,58,72,46,49,70,2,0,48,15,78,68,64,51,71,84,4,4,48,14,116,62,50,58,42,65,7,5,35,14,123,54,52,37,42,45,5,4,39,13,99,31,32,42,41,25,2,4,19,1005,2116,57,5,8,76,27,286,499,0,0,0,16,4,202,618,0,0,0,4,0,319,412,29,0,0,18,20,166,362,0,0,0,8,9,106,305,3,0,0,9,1,457,1034,18,3,0,34,16,197,399,14,1,7,57,23,78,235,13,1,16,48,17,13,29,0,0,0,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,465,780,15,0,17,58,26,553,1593,33,5,6,99,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2000,2300,8443180,8541054,580,451,0,0,0,4,3,280324,1207,132838,573,5,19,18,10,4,13555,51623,0,79,0,1270,245,96,6462,1341,147,213,1051,678,1455,4116,0,0,0,281,0,88,216,0,0,0,0,0,0,15,0,0,0,0,0,32,52,84,21,34,55,0,1,1,102,12,75,47,8,3,36317,4883,1931,32004,4409,1598,26302,3176,1298,24500,2968,1203,1493,3233,57,5,8,96,31
